Journal Name,Publisher,APC,Review Time,Scopus Status,Source URL
Pragmatic Case Studies in Psychotherapy,Rutgers University Libraries,No APC (DOAJ),Not Available,Not Indexed,http://pcsp.libraries.rutgers.edu/
Journal of Orthopaedic Translation,Elsevier,  (DOAJ),Not Available,Indexed (Source File),http://www.journals.elsevier.com/journal-of-orthopaedic-translation/
Healthcare in Low-resource Settings,PAGEPress Publications,Not Available,Not Available,Likely Indexed (Website),http://www.pagepressjournals.org/index.php/hls
Upsala Journal of Medical Sciences,Upsala Medical Society,  (DOAJ),Not Available,Indexed (Source File),https://ujms.net/index.php/ujms/index
Public Health Research & Practice,Sax Institute,  (DOAJ),Not Available,Not Indexed,http://www.phrp.com.au/
IHJ Cardiovascular Case Reports,Elsevier,No APC (DOAJ),Not Available,Not Indexed,https://www.journals.elsevier.com/ihj-cardiovascular-case-reports
Cardiovascular Innovations and Applications,Compuscript,No APC (DOAJ),Not Available,Indexed (Website),http://cvia-journal.org/
Canadian Medical Education Journal,Canadian Medical Education Journal,Free (MU Directory),Not Available,Not Indexed,http://www.cmej.ca/
European Medical Journal Dermatology,European Medical Journal,Free (MU Directory),Not Available,Not Indexed,https://www.emjreviews.com/therapeutic-area/dermatology/
Infectious Diseases and Tropical Medicine,Verduci Editore,  (DOAJ),Not Available,Indexed (Website),http://www.infectiousjournal.com/
Pathos,Publiediting,No APC (DOAJ),Not Available,Not Indexed,https://www.pathos-journal.com/
Romanian Neurosurgery,London Academic Publishing,Not Available,Not Available,Not Indexed,https://www.journals.lapub.co.uk/index.php/roneurosurgery/index
Journal of Mass Spectrometry and Advances in the Clinical Lab,Elsevier,No APC (DOAJ),Not Available,Indexed (Source File),https://www.journals.elsevier.com/journal-of-mass-spectrometry-and-advances-in-the-clinical-lab
INNOVATIONS in Pharmacy,University of Minnesota Libraries Publishing,Free (MU Directory),Not Available,Not Indexed,http://www.pharmacy.umn.edu/innovations/
Microbiota in Health and Disease,Verduci Editore,No APC (DOAJ),Not Available,Not Indexed,https://www.microbiotajournal.com/
Global Medical Genetics,Georg Thieme Verlag KG,  (DOAJ),Not Available,Not Indexed,https://www.thieme.com/books-main/genetics/product/5705-global-medical-genetics
Swiss Medical Weekly,SMW supporting association (Trägerverein Swiss Medical Weekly SMW),No APC (DOAJ),Not Available,Indexed (Source File),http://www.smw.ch/
European Medical Journal Reproductive Health,European Medical Journal,Free (MU Directory),Not Available,Not Indexed,http://emjreviews.com/therapeutic-area/reproductive-health/
Clinical Hypertension,BMC,Free (MU Directory),Not Available,Indexed (Website),https://clinicalhypertension.biomedcentral.com/
Journal of Primary Health Care,CSIRO Publishing,  (DOAJ),Not Available,Indexed (Source File),https://www.publish.csiro.au/hc
Arthroplasty,BMC,Free (MU Directory),Not Available,Indexed (Website),https://arthroplasty.biomedcentral.com/
GMS Interdisciplinary Plastic and Reconstructive Surgery DGPW,German Medical Science GMS Publishing House,  (DOAJ),Not Available,Not Indexed,https://www.egms.de/dynamic/en/journals/iprs/index.htm
Vascular Biology,Bioscientifica,Free (MU Directory),Not Available,Not Indexed,https://vb.bioscientifica.com/
Journal of Epileptology,Exeley Inc.,Free (MU Directory),Not Available,Not Indexed,https://www.exeley.com/journal/journal_of_epileptology
Online Journal of Nursing Informatics,HIMSS,Not Available,Not Available,Not Indexed,http://www.himss.org/ojni
Journal of Clinical Interventional Radiology ISVIR,"Thieme Medical Publishers, Inc.",Free (MU Directory),Not Available,Indexed (Source File),https://doi.org/10.1055/s-00033348
"GMS Medizinische Informatik, Biometrie und Epidemiologie",German Medical Science GMS Publishing House,No APC (DOAJ),Not Available,Not Indexed,https://www.egms.de/dynamic/en/journals/mibe/index.htm
Egyptian Journal of Neurosurgery,SpringerOpen,Free (MU Directory),Not Available,Not Indexed,https://ejns.springeropen.com/
Pharmaceutical Fronts,Georg Thieme Verlag KG,No APC (DOAJ),Not Available,Not Indexed,https://www.thieme.com/books-main/chemistry/product/5416-pharmaceutical-fronts
GMS Infectious Diseases,German Medical Science GMS Publishing House,No APC (DOAJ),Not Available,Not Indexed,https://www.egms.de/dynamic/en/journals/id/index.htm
Medical Review,De Gruyter,No APC (DOAJ),Not Available,Likely Indexed (Website),https://www.degruyter.com/journal/key/mr/html
Pediatrics and Neonatology,Elsevier,No APC (DOAJ),Not Available,Indexed (Source File),https://www.journals.elsevier.com/pediatrics-and-neonatology/
Vision Pan-America,Pan-American Association of Ophthalmology,Not Available,Not Available,Not Indexed,http://journals.sfu.ca/paao/index.php/journal/index
European Medical Journal Oncology,European Medical Journal,Free (MU Directory),Not Available,Not Indexed,http://emjreviews.com/therapeutic-area/oncology/
University of Ottawa Journal of Medicine,University of Ottawa,No APC (DOAJ),Not Available,Not Indexed,http://uojm.ca/
American Journal of Experimental and Clinical Research,American Journal of Experimental and Clinical Research,Free (MU Directory),Not Available,Not Indexed,http://ajecr.org/index.php/ajecr/index
WikiJournal of Medicine,WikiJournal User Group,Free (MU Directory),Not Available,Indexed (Source File),https://www.wikijmed.org/
Clinical Medicine Insights: Blood Disorders,SAGE Publishing,Free (MU Directory),Not Available,Not Indexed,https://journals.sagepub.com/home/bdx
Future Journal of Pharmaceutical Sciences,SpringerOpen,Free (MU Directory),Not Available,Not Indexed,https://fjps.springeropen.com/
Journal of Contemporary Pharmacy Practice,California Pharmacists Association,Free (MU Directory),Not Available,Not Indexed,https://meridian.allenpress.com/jcphp
Translation,The University of Toledo,Free (MU Directory),Not Available,Not Indexed,https://openjournals.utoledo.edu/index.php/translation
Il Giornale di AMD,Idelson Gnocchi,No APC (DOAJ),Not Available,Not Indexed,http://www.jamd.it/
Health and Interprofessional Practice,Pacific University Library,No APC (DOAJ),Not Available,Not Indexed,https://hipe-pub.org/
Perspectives Interdisciplinaires sur le Travail et la Santé,Institut de Recherche Robert-Sauvé en Santé et en Sécurité du Travail (IRSST),No APC (DOAJ),Not Available,Not Indexed,http://pistes.revues.org/
EMJ Microbiology & Infectious Diseases,European Medical Journal,No APC (DOAJ),Not Available,Not Indexed,https://www.emjreviews.com/therapeutic-area/microbiology-infectious-diseases/
Journal of Oral Medicine and Oral Surgery,EDP Sciences,  (DOAJ),Not Available,Indexed (Website),https://www.jomos.org/
GMS Medizin – Bibliothek – Information,German Medical Science GMS Publishing House,No APC (DOAJ),Not Available,Not Indexed,https://www.egms.de/dynamic/en/journals/mbi/index.htm
Canada Communicable Disease Report,Public Health Agency of Canada,No APC (DOAJ),Not Available,Not Indexed,https://www.canada.ca/en/public-health/services/reports-publications/canada-communicable-disease-report-ccdr.html
Pediatric Neurology Briefs,Pediatric Neurology Briefs Publishers,Free (MU Directory),Not Available,Not Indexed,http://www.pediatricneurologybriefs.com/
International Journal of Hospital Based Health Technology Assessment,CybelePress,Not Available,Not Available,Not Indexed,http://www.cybelepress.com/ijhbhta.html
Advances in Laboratory Medicine,De Gruyter,No APC (DOAJ),Not Available,Likely Indexed (Website),https://www.degruyter.com/journal/key/almed/html
Cell Regeneration,SpringerOpen,Free (MU Directory),Not Available,Indexed (Website),https://cellregeneration.springeropen.com/
The Journal of the Royal College of Physicians of Edinburgh,Royal College of Physicians of Edinburgh,Not Available,Not Available,Indexed (Source File),https://www.rcpe.ac.uk/journal
Egyptian Journal of Forensic Sciences,SpringerOpen,Free (MU Directory),Not Available,Indexed (Website),https://ejfs.springeropen.com/
Indian Journal of Plastic Surgery,"Thieme Medical Publishers, Inc.",Free (MU Directory),Not Available,Indexed (Source File),https://doi.org/10.1055/s-00042863
Atti della Accademia Peloritana dei Pericolanti - Classe di Scienze Medico-Biologiche,Accademia Peloritana dei Pericolanti,Not Available,Not Available,Not Indexed,http://cab.unime.it/journals/index.php/APMB
International Journal of Orientation & Mobility,Exeley Inc.,Free (MU Directory),Not Available,Not Indexed,https://www.exeley.com/journal/International_Journal_of_Orientation_and_Mobility
GMS Hygiene and Infection Control,German Medical Science GMS Publishing House,No APC (DOAJ),Not Available,Not Indexed,https://www.egms.de/dynamic/en/journals/dgkh/index.htm
Annali dell'Istituto Superiore di Sanità,Istituto Superiore di Sanità,Not Available,Not Available,Likely Indexed (Website),https://www.iss.it/en/web/guest/annali
Journal of Osseointegration,Ariesdue,  (DOAJ),Not Available,Indexed (Source File),http://www.journalofosseointegration.eu/
Journal of Bio-X Research,Wolters Kluwer Health,Free (MU Directory),Not Available,Not Indexed,https://journals.lww.com/jbioxresearch/pages/default.aspx
Patient Experience Journal,The Beryl Institute,No APC (DOAJ),Not Available,Not Indexed,https://pxjournal.org/journal/
Molecular Biomedicine,Springer,Free (MU Directory),Not Available,Indexed (Website),https://www.springer.com/journal/43556
Journal of the European Association for Health Information and Libraries,European Association for Health Information and Libraries,No APC (DOAJ),Not Available,Not Indexed,http://ojs.eahil.eu/
Canadian Journal of Speech-Language Pathology and Audiology,Speech-Language and Audiology Canada (SAC),No APC (DOAJ),Not Available,Indexed (Source File),http://cjslpa.ca/
Indian Pacing and Electrophysiology Journal,Elsevier,No APC (DOAJ),Not Available,Indexed (Source File),https://www.journals.elsevier.com/indian-pacing-and-electrophysiology-journal/
International Journal of Implant Dentistry,SpringerOpen,  (DOAJ),Not Available,Not Indexed,http://www.journalimplantdent.com/
Family Medicine and Community Health,BMJ Publishing Group,Free (MU Directory),Not Available,Indexed (Source File),http://fmch.bmj.com/
Quality Advancement in Nursing Education,Canadian Association of Schools of Nursing,Free (MU Directory),Not Available,Not Indexed,https://qane-afi.casn.ca/journal/
Journal of Occupational Therapy Education,Eastern Kentucky University,Free (MU Directory),Not Available,Not Indexed,http://encompass.eku.edu/jote
Allergology International,Elsevier,  (DOAJ),Not Available,Indexed (Source File),https://www.journals.elsevier.com/allergology-international/
European Medical Journal Nephrology,European Medical Journal,Free (MU Directory),Not Available,Not Indexed,http://emjreviews.com/therapeutic-area/nephrology/
Acta Epileptologica,BMC,Free (MU Directory),Not Available,Indexed (Website),https://aepi.biomedcentral.com/
World Cancer Research Journal,Verduci Editore,No APC (DOAJ),Not Available,Indexed (Website),https://www.wcrj.net/
Southwest Journal of Pulmonary and Critical Care,Arizona Thoracic Society,Free (MU Directory),Not Available,Not Indexed,http://www.swjpcc.com/
European Medical Journal Cardiology,European Medical Journal,Free (MU Directory),Not Available,Not Indexed,http://emjreviews.com/therapeutic-area/cardiology/
Bulletin de la Dialyse à Domicile,RDPLF,No APC (DOAJ),Not Available,Likely Indexed (Website),https://www.bdd.rdplf.org/
"Journal of Orthopaedics, Trauma and Rehabilitation",SAGE Publishing,Free (MU Directory),Not Available,Indexed (Source File),https://journals.sagepub.com/home/otr
Journal of Physiotherapy,Elsevier,No APC (DOAJ),Not Available,Indexed (Source File),http://www.journals.elsevier.com/journal-of-physiotherapy/
Veins and Lymphatics,PAGEPress Publications,No APC (DOAJ),Not Available,Likely Indexed (Website),http://www.pagepressjournals.org/index.php/vl/index
Emergency and Critical Care Medicine,Wolters Kluwer Health/LWW,  (DOAJ),Not Available,Indexed (Source File),https://journals.lww.com/eccm/pages/default.aspx
Egyptian Pediatric Association Gazette,SpringerOpen,Free (MU Directory),Not Available,Not Indexed,https://epag.springeropen.com/
Médecine Tropicale et Santé Internationale (MTSI),Société francophone de médecine tropicale et santé internationale (ancienne SPE),No APC (DOAJ),Not Available,Likely Indexed (Website),http://revuemtsi.societe-mtsi.fr/index.php/bspe-articles/about
"Nordic Journal of Arts, Culture and Health",Scandinavian University Press (Universitetsforlaget),No APC (DOAJ),Not Available,Not Indexed,https://www.idunn.no/nordic_journal_of_arts_culture_and_health?languageId=2
Egyptian Journal of Medical Human Genetics,SpringerOpen,Free (MU Directory),Not Available,Indexed (Website),https://jmhg.springeropen.com/
BJPsych International,Cambridge University Press,Free (MU Directory),Not Available,Indexed (Source File),https://www.cambridge.org/core/journals/bjpsych-international
Knee Surgery & Related Research,BMC,Free (MU Directory),Not Available,Indexed (Website),https://kneesurgrelatres.biomedcentral.com/
Monaldi Archives for Chest Disease,PAGEPress Publications,No APC (DOAJ),Not Available,Likely Indexed (Website),http://www.monaldi-archives.org/
Ophthalmology and Eye Diseases,SAGE Publishing,Free (MU Directory),Not Available,Not Indexed,http://journals.sagepub.com/home/oed
Chinese Neurosurgical Journal,BMC,Free (MU Directory),Not Available,Indexed (Website),https://cnjournal.biomedcentral.com/
Health Services and Delivery Research,National Institute for Health Research,No APC (DOAJ),Not Available,Not Indexed,https://www.journalslibrary.nihr.ac.uk/hsdr/
Journal of Health Research,Emerald Publishing,  (DOAJ),Not Available,Indexed (Source File),http://www.emeraldgrouppublishing.com/services/publishing/jhr/index.htm
African Journal of Health Professions Education,Health and Medical Publishing Group,  (DOAJ),Not Available,Not Indexed,http://www.ajhpe.org.za/index.php/ajhpe/index
OpenPhysio,Physiopedia,No APC (DOAJ),Not Available,Not Indexed,https://www.openphysiojournal.com/
African Journal of Urology,SpringerOpen,Free (MU Directory),Not Available,Indexed (Website),https://afju.springeropen.com/
Building Healthy Academic Communities Journal,The Ohio State University Libraries,Free (MU Directory),Not Available,Not Indexed,https://library.osu.edu/ojs/index.php/BHAC
Acupuncture and Herbal Medicine,Wolters Kluwer Health/LWW,No APC (DOAJ),Not Available,Not Indexed,https://journals.lww.com/ahm/pages/default.aspx
The Egyptian Journal of Radiology and Nuclear Medicine,SpringerOpen,Free (MU Directory),Not Available,Indexed (Website),https://ejrnm.springeropen.com/
Global Bioethics Enquiry,UNESCO,No APC (DOAJ),Not Available,Not Indexed,https://globalbioethicsenquiry.com/
International Journal of Pediatrics and Adolescent Medicine,Elsevier,Not Available,Not Available,Indexed (Source File),http://www.journals.elsevier.com/international-journal-of-pediatrics-and-adolescent-medicine/
Blood Science,Wolters Kluwer Health,Free (MU Directory),Not Available,Indexed (Source File),https://journals.lww.com/bls/pages/default.aspx
Reproduction and Fertility,Bioscientifica,Free (MU Directory),Not Available,Indexed (Source File),https://raf.bioscientifica.com/
Journal of the Society for Clinical Data Management,Society for Clinical Data Management,No APC (DOAJ),Not Available,Not Indexed,https://www.jscdm.org/
Art Therapy Online,"Goldsmiths, University of London",No APC (DOAJ),Not Available,Not Indexed,http://ojs.gold.ac.uk/index.php/atol/index
SA Orthopaedic Journal,MedPharm Publications,No APC (DOAJ),Not Available,Not Indexed,https://www.saoj.org.za/index.php/saoj
Torture,International Rehabilitation Council for Torture Victims,No APC (DOAJ),Not Available,Not Indexed,https://tidsskrift.dk/torture-journal/
McGill Journal of Medicine,McGill University,No APC (DOAJ),Not Available,Not Indexed,https://mjm.mcgill.ca/index
Journal of Muslim Mental Health,Michigan Publishing,No APC (DOAJ),Not Available,Indexed (Source File),http://www.journalofmuslimmentalhealth.org/
Finnish Journal of eHealth and eWelfare,Finnish Social and Health Informatics Association,No APC (DOAJ),Not Available,Not Indexed,https://journal.fi/finjehew/
Pediatric Investigation,Wiley,Free (MU Directory),Not Available,Indexed (Source File),https://onlinelibrary.wiley.com/journal/25742272
Pediatric Quality & Safety,Wolters Kluwer,No APC (DOAJ),Not Available,Not Indexed,http://journals.lww.com/pqs/pages/default.aspx
RNA & DISEASE,Smart Science & Technology LLC,No APC (DOAJ),Not Available,Not Indexed,http://www.smartscitech.com/index.php/RD/index
MedEdPORTAL,Association of American Medical Colleges,Free (MU Directory),Not Available,Not Indexed,https://www.mededportal.org/
Journal of Patient Experience,SAGE Publishing,Free (MU Directory),Not Available,Indexed (Source File),https://journals.sagepub.com/home/jpx
Science of Nursing and Health Practices,Réseau de recherche en interventions en sciences infirmières du Québec (RRISIQ),No APC (DOAJ),Not Available,Not Indexed,https://sips-snahp.ojs.umontreal.ca/index.php/sips-snahp/index
Sensors & Diagnostics,The Royal Society of Chemistry,  (DOAJ),Not Available,Indexed (Website),https://www.rsc.org/journals-books-databases/about-journals/sensors-diagnostics/
Hong Kong Journal of Occupational Therapy,SAGE Publishing,Free (MU Directory),Not Available,Indexed (Source File),https://journals.sagepub.com/home/hjo
Programme Grants for Applied Research,NIHR Journals Library,Free (MU Directory),Not Available,Not Indexed,https://www.journalslibrary.nihr.ac.uk/pgfar/
Precision Clinical Medicine,Oxford University Press,  (DOAJ),Not Available,Indexed (Source File),https://academic.oup.com/pcm
Revista Portuguesa de Pneumologia (English Edition),Elsevier,No APC (DOAJ),Not Available,Not Indexed,https://www.journals.elsevier.com/revista-portuguesa-de-pneumologia-english-edition
Irish Journal of Occupational Therapy,Emerald Publishing,Free (MU Directory),Not Available,Indexed (Source File),http://www.emeraldgrouppublishing.com/services/publishing/ijot/index.htm
Aporia,University of Ottawa,No APC (DOAJ),Not Available,Not Indexed,https://uottawa.scholarsportal.info/ottawa/index.php/aporia/index
Psychotherapie-Wissenschaft,Psychosozial-Verlag GmbH & Co. KG,No APC (DOAJ),Not Available,Not Indexed,https://www.psychotherapie-wissenschaft.info/
Dubai Medical Journal,Karger Publishers,Free (MU Directory),Not Available,Not Indexed,https://www.karger.com/Journal/Home/277043
Journal of Wellness,University of Louisville Libraries,Free (MU Directory),Not Available,Not Indexed,https://journalofwellness.com/
European Medical Journal Allergy & Immunology,European Medical Journal,Free (MU Directory),Not Available,Not Indexed,https://www.emjreviews.com/therapeutic-area/allergy-immunology/
NeuroRegulation,International Society for Neurofeedback and Research (ISNR),No APC (DOAJ),Not Available,Likely Indexed (Website),http://www.neuroregulation.org/
The Egyptian Journal of Otolaryngology,SpringerOpen,No APC (DOAJ),Not Available,Indexed (Website),https://ejo.springeropen.com/
Journal of Smooth Muscle Research,Japan Society of Smooth Muscle Research,Not Available,Not Available,Likely Indexed (Website),http://www.jssmr.jp/official/pg_journal/index.html
Cardiology Plus,Wolters Kluwer Health/LWW,Free (MU Directory),Not Available,Not Indexed,https://journals.lww.com/cardioplus/pages/default.aspx
Eurosurveillance,European Centre for Disease Prevention and Control,No APC (DOAJ),Not Available,Indexed (Source File),http://www.eurosurveillance.org/
Health Data Science,American Association for the Advancement of Science (AAAS),Free (MU Directory),Not Available,Not Indexed,https://spj.sciencemag.org/journals/hds/
Journal of Biomedical Practitioners,Università degli Studi di Torino,No APC (DOAJ),Not Available,Likely Indexed (Website),http://www.ojs.unito.it/index.php/jbp/index
Journal of Radiology Case Reports,EduRad Publishing,  (DOAJ),Not Available,Indexed (Website),http://www.radiologycases.com/
Immunological Medicine,Taylor & Francis Group,Free (MU Directory),Not Available,Indexed (Source File),https://www.tandfonline.com/journals/timm
Free Neuropathology,University of Münster / Open Journals System,No APC (DOAJ),Not Available,Not Indexed,https://www.uni-muenster.de/Ejournals/index.php/fnp/index
Tidsskrift for Den norske legeforening,Den norske legeforening,No APC (DOAJ),Not Available,Not Indexed,https://tidsskriftet.no/
Rural and Remote Health,James Cook University,No APC (DOAJ),Not Available,Indexed (Source File),https://www.rrh.org.au/
Angle Orthodontist,E.H Angle Education and Research Foundation,No APC (DOAJ),Not Available,Indexed (Source File),https://meridian.allenpress.com/angle-orthodontist
International Journal of Cancer Therapy and Oncology,IJCTO,Not Available,Not Available,Not Indexed,http://www.ijcto.org/index.php/IJCTO/index
Urogynaecologia International Journal,PAGEPress Publications,No APC (DOAJ),Not Available,Likely Indexed (Website),http://www.urogynaecologia.org/
Neuroanatomy and Behaviour,Episteme Health Inc.,Not Available,Not Available,Not Indexed,https://epistemehealth.com/index.php/nab
Efficacy and Mechanism Evaluation,NIHR Journals Library,Free (MU Directory),Not Available,Not Indexed,https://www.journalslibrary.nihr.ac.uk/eme/
Journal of Renal and Hepatic Disorders,Codon Publications,No APC (DOAJ),Not Available,Not Indexed,https://jrenhep.com/index.php/jrenhep
Therapeutic Advances in Vaccines and Immunotherapy,SAGE Publishing,Free (MU Directory),Not Available,Indexed (Source File),https://journals.sagepub.com/home/tav
Egyptian Rheumatology and Rehabilitation,SpringerOpen,Free (MU Directory),Not Available,Indexed (Website),https://erar.springeropen.com/
Geriatric Care,PAGEPress Publications,  (DOAJ),Not Available,Not Indexed,http://www.geriatric-care.org/
International Journal of Telerehabilitation,"University Library System, University of Pittsburgh",Free (MU Directory),Not Available,Indexed (Source File),http://telerehab.pitt.edu/
Military Medical Research,BMC,No APC (DOAJ),Not Available,Indexed (Website),https://mmrjournal.biomedcentral.com/
European Medical Journal Hematology,European Medical Journal,Free (MU Directory),Not Available,Not Indexed,http://emjreviews.com/therapeutic-area/hematology/
Nursing & Health Sciences Research Journal,Library & Knowledge Services and Nursing & Health Sciences Research Departments,Free (MU Directory),Not Available,Not Indexed,https://scholarlycommons.baptisthealth.net/nhsrj/
Journal of the Medical Library Association,"University Library System, University of Pittsburgh",Free (MU Directory),Not Available,Not Indexed,http://jmla.mlanet.org/ojs/jmla
Reviews in Health Care,SEEd,Not Available,Not Available,Not Indexed,https://journals.seedmedicalpublishers.com/index.php/RHC
International Health Trends and Perspectives,Ryerson University,No APC (DOAJ),Not Available,Not Indexed,https://journals.library.ryerson.ca/index.php/ihtp/index
South African Journal of Sports Medicine,South African Sports Medicine Association,  (DOAJ),Not Available,Indexed (Source File),http://journals.assaf.org.za/index.php/sajsm/index
Molecular Biology & Nanomedicine,Techland Publishing Group Limited,No APC (DOAJ),Not Available,Not Indexed,http://mbn.techlandgroup.com/index.php
Psychiatria Fennica,The Finnish Foundation for Psychiatric Research,No APC (DOAJ),Not Available,Not Indexed,https://www.psykiatriantutkimussaatio.fi/index.php/psychiatria-fennica/
South African Journal of Child Health,Health and Medical Publishing Group,Free (MU Directory),Not Available,Not Indexed,http://www.sajch.org.za/
Journal of Biomedical Science,BMC,Free (MU Directory),Not Available,Indexed (Website),https://jbiomedsci.biomedcentral.com/
EMJ Radiology,European Medical Journal,Free (MU Directory),Not Available,Not Indexed,https://www.emjreviews.com/therapeutic-area/radiology/
British and Irish Orthoptic Journal,White Rose University Press,Free (MU Directory),Not Available,Indexed (Source File),https://www.bioj-online.com/
Social Medicine,Social Medicine Publication Group,  (DOAJ),Not Available,Indexed (Source File),http://www.socialmedicine.info/
Journal of Patient Experience,SAGE Publishing,Free (MU Directory),Not Available,Indexed (Source File),https://journals.sagepub.com/home/jpx
Société Internationale d’Urologie Journal,The Société Internationale d’Urologie (SIU),No APC (DOAJ),Not Available,Not Indexed,https://siuj.org/index.php/siuj
Pleura and Peritoneum,De Gruyter,  (DOAJ),Not Available,Likely Indexed (Website),https://www.degruyter.com/view/journals/pp/pp-overview.xml
Hong Kong Journal of Occupational Therapy,SAGE Publishing,Free (MU Directory),Not Available,Indexed (Source File),https://journals.sagepub.com/home/hjo
Programme Grants for Applied Research,NIHR Journals Library,Free (MU Directory),Not Available,Not Indexed,https://www.journalslibrary.nihr.ac.uk/pgfar/
Health Reform Observer - Observatoire des Réformes de Santé,McMaster University Library Press,No APC (DOAJ),Not Available,Not Indexed,https://mulpress.mcmaster.ca/hro-ors/index
European Medical Journal Allergy & Immunology,European Medical Journal,Free (MU Directory),Not Available,Not Indexed,https://www.emjreviews.com/therapeutic-area/allergy-immunology/
Precision Clinical Medicine,Oxford University Press,  (DOAJ),Not Available,Indexed (Source File),https://academic.oup.com/pcm
Egyptian Rheumatology and Rehabilitation,SpringerOpen,Free (MU Directory),Not Available,Indexed (Website),https://erar.springeropen.com/
Aporia,University of Ottawa,No APC (DOAJ),Not Available,Not Indexed,https://uottawa.scholarsportal.info/ottawa/index.php/aporia/index
Irish Journal of Occupational Therapy,Emerald Publishing,Free (MU Directory),Not Available,Indexed (Source File),http://www.emeraldgrouppublishing.com/services/publishing/ijot/index.htm
Journal of Clinical & Developmental Psychology,CeRIP,  (DOAJ),Not Available,Not Indexed,http://cab.unime.it/journals/index.php/JCDP/index
Journal of Wellness,University of Louisville Libraries,Free (MU Directory),Not Available,Not Indexed,https://journalofwellness.com/
NeuroRegulation,International Society for Neurofeedback and Research (ISNR),No APC (DOAJ),Not Available,Likely Indexed (Website),http://www.neuroregulation.org/
Journal of Smooth Muscle Research,Japan Society of Smooth Muscle Research,Not Available,Not Available,Likely Indexed (Website),http://www.jssmr.jp/official/pg_journal/index.html
