Journal Title,Publisher,ISSN,Review Time,APC,Scopus Indexing,Quartile,SJR,Source URL,Review Time Source,APC Source
Journal of Rare Diseases,Springer,2731-085X,15 days,  (DOAJ),Not Indexed,Not Available,Not Available,https://link.springer.com/journal/44162,Springer (Direct),DOAJ
Egyptian Journal of Neurosurgery,SpringerOpen,2520-8225,8 days,Free (MU Directory),Not Indexed,Not Available,Not Available,https://ejns.springeropen.com/,Springer (Direct),MU Directory
Intensive Care Research,Springer,2666-9862,17 days,  (DOAJ),Not Indexed,Not Available,Not Available,https://www.springer.com/journal/44231,Springer (Direct),DOAJ
Management System Engineering,Springer,2731-5843,19 days,Free (MU Directory),Not Indexed,Not Available,Not Available,https://www.springer.com/journal/44176/,Springer (Direct),MU Directory
Autonomous Intelligent Systems,Springer,2730616X,31 days,Free (MU Directory),Indexed,Q1,13,https://www.springer.com/journal/43684,Springer (Direct),MU Directory
Journal of Umm Al-Qura University for Engineering and Architecture,Springer Science and Business Media Deutschland GmbH,16588150,13 days,Free (Stated on Website),Indexed,Q1,6,https://www.springer.com/journal/43995,Springer (Direct),journalsearches.com
Railway Engineering Science,Springer,"26624753, 26624745",7 days,Free (MU Directory),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Railway Engineering Science is 5.4. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",1.368,https://www.springer.com/journal/40534,Springer (Direct),MU Directory
Asian Review of Political Economy,Springer,2731-5835,13 days,  (DOAJ),Not Indexed,Not Available,Not Available,https://www.springer.com/journal/44216,Springer (Direct),DOAJ
Journal of Psychosexual Health,SAGE Publishing,2631-8326,10 weeks,Free (MU Directory),Not Indexed,Not Available,Not Available,https://journals.sagepub.com/home/ssh,journalsearches.com,MU Directory
Journal of Leather Science and Engineering,Springer Singapore,20966873,5 days,Free (Stated on Website),Indexed,Not Available,Not Available,https://jlse.springeropen.com/,Springer (Direct),journalsearches.com
Journal of Engineering and Applied Science,"ISSN: 11101903, 25369512 Journal Scope: Engineering","11101903, 25369512",9 days,Free (MU Directory),Indexed,Q2,21,https://jeas.springeropen.com/,Springer (Direct),MU Directory
Clinical Phytoscience,SpringerOpen,2199-1197,13 weeks,  (DOAJ),Not Indexed,Not Available,Not Available,http://www.clinphytoscience.com/,journalsearches.com,DOAJ
Medicine Access @ Point of Care,SAGE Publishing,2399-2026,15 weeks,  (DOAJ),Not Indexed,Not Available,Not Available,http://journals.sagepub.com/home/map,journalsearches.com,DOAJ
Collagen and Leather,Springer,"20971419, 27316998",5 days,Free (Stated on Website),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Collagen And Leather is 9.2. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",1.116,https://jlse.springeropen.com,Springer (Direct),journalsearches.com
Horticulture Advances,Springer,,5 days,Free (Stated on Website),Indexed,Not Available,Not Available,https://link.springer.com/journal/44281,Springer (Direct),journalsearches.com
Stress Biology,Springer,27310450,11 days,Free (MU Directory),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Stress Biology is 5.8. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",1.339,https://www.springer.com/journal/44154,Springer (Direct),MU Directory
Journal of Umm Al-Qura University for Applied Sciences,Springer,16588185,6 days,Free (Stated on Website),Indexed,Q1,12,https://www.springer.com/journal/43994,Springer (Direct),journalsearches.com
Apollo Medicine,SAGE Publishing,2213-3682,13 weeks,Free (MU Directory),Not Indexed,Not Available,Not Available,https://journals.sagepub.com/home/AOM,journalsearches.com,MU Directory
The Cardiothoracic Surgeon,SpringerOpen,2662-2203,11 days,Free (MU Directory),Not Indexed,Not Available,Not Available,https://cts.springeropen.com/,Springer (Direct),MU Directory
Nuclear Engineering and Technology,Korean Nuclear Society,"2234358X, 17385733",32 weeks,Free (Stated on Website),Indexed,"Q2The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Nuclear Engineering And Technology is 2.6. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.692,http://www.journals.elsevier.com/nuclear-engineering-and-technology,journalsearches.com,journalsearches.com
Journal of Asia-Pacific Biodiversity,National Science Museum od Korea,"22879544, 2287884X",10 weeks,Free (Stated on Website),Indexed,Q3,28,https://www.sciencedirect.com/journal/journal-of-asia-pacific-biodiversity,journalsearches.com,journalsearches.com
Indian Pacing and Electrophysiology Journal,Indian Pacing and Electrophysiology Group,"09726292, 25901753",26 weeks,Free (Stated on Website),Indexed,Q3,33,https://www.sciencedirect.com/journal/indian-pacing-and-electrophysiology-journal,journalsearches.com,journalsearches.com
Borsa Istanbul Review,Borsa Istanbul Anonim Sirketi,"22148450, 22148469",15 weeks,Free (Stated on Website),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Borsa Istanbul Review is 7.1. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",1.326,https://www.sciencedirect.com/journal/borsa-istanbul-review,journalsearches.com,journalsearches.com
Integrative Medicine Research,Korea Institute of Oriental Medicine,"22134239, 22134220",12 weeks,Free (Stated on Website),Indexed,"Q2The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Integrative Medicine Research is 3.0. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.564,https://www.sciencedirect.com/journal/integrative-medicine-research,journalsearches.com,journalsearches.com
Future Journal of Pharmaceutical Sciences,Future University in Egypt,2314-7253,31 days,Free (MU Directory),Not Indexed,Not Available,Not Available,https://fjps.springeropen.com,Springer (Direct),MU Directory
Solid Earth Sciences,ISSN: 2451912X Journal Scope: Earth and Planetary Sciences,2451912X,38 weeks,Free (Stated on Website),Indexed,"Q2The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Solid Earth Sciences is 2.7. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.645,https://www.sciencedirect.com/journal/solid-earth-sciences,journalsearches.com,journalsearches.com
Water Science and Engineering,Editorial Office of Water Science and Engineering,"16742370, 24058106",50 weeks,Free (Stated on Website),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Water Science And Engineering is 4.3. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.938,https://www.sciencedirect.com/journal/water-science-and-engineering,journalsearches.com,journalsearches.com
Frontiers of Urban and Rural Planning,Springer,2731-6661,26 days,  (DOAJ),Not Indexed,Not Available,Not Available,https://www.springer.com/journal/44243,Springer (Direct),DOAJ
Asian Journal of Urology,Editorial Office of Asian Journal of Urology,"22143882, 22143890",16 weeks,Free (Stated on Website),Indexed,"Q2The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Asian Journal Of Urology is 2.4. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.675,https://www.sciencedirect.com/journal/asian-journal-of-urology,journalsearches.com,journalsearches.com
Visual Informatics,Elsevier B.V.,"25432656, 2468502X",15 weeks,Free (Stated on Website),Indexed,"Q2The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Visual Informatics is 3.9. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.593,https://www.sciencedirect.com/journal/visual-informatics,journalsearches.com,journalsearches.com
Perspectives in Ecology and Conservation,Associacao Brasileira de Ciencia Ecologica e Conservacao,25300644,45 weeks,Free (Stated on Website),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Perspectives In Ecology And Conservation is 3.5. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",1.446,https://www.sciencedirect.com/journal/perspectives-in-ecology-and-conservation,journalsearches.com,journalsearches.com
Osteoporosis and Sarcopenia,Elsevier,,20 weeks,Free (Stated on Website),Not Indexed,Not Available,Not Available,http://www.journals.elsevier.com/osteoporosis-and-sarcopenia/,journalsearches.com,journalsearches.com
Pediatric Hematology Oncology Journal,Elsevier B.V.,24681245,16 weeks,Free (Stated on Website),Indexed,Q3,8,http://www.journals.elsevier.com/pediatric-hematology-oncology-journal/,journalsearches.com,journalsearches.com
Hellenic Journal of Cardiology,Hellenic Cardiological Society,"22415955, 11099666",52 weeks,Free (Stated on Website),Indexed,"Q2The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Hellenic Journal Of Cardiology is 3.0. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.623,http://www.journals.elsevier.com/hellenic-journal-of-cardiology,journalsearches.com,journalsearches.com
The Journal of Chinese Sociology,SpringerOpen,2198-2635,13 weeks,Free (MU Directory),Not Indexed,Not Available,Not Available,http://www.journalofchinesesociology.com,journalsearches.com,MU Directory
Journal of Sport and Health Science,Elsevier B.V.,"22132961, 20952546",22 weeks,Free (Stated on Website),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Journal Of Sport And Health Science is 10.3. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",3.197,http://www.journals.elsevier.com/journal-of-sport-and-health-science,journalsearches.com,journalsearches.com
Cell Regeneration,Springer,20459769,4 days,Free (MU Directory),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Cell Regeneration is 4.7. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",1.352,https://cellregeneration.springeropen.com/,Springer (Direct),MU Directory
Bulletin of the National Research Centre,SpringerOpen,2522-8307,8 days,Free (MU Directory),Not Indexed,Not Available,Not Available,https://bnrc.springeropen.com,Springer (Direct),MU Directory
Computational Urban Science,Springer,27306852,15 days,Free (MU Directory),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Computational Urban Science is 3.2. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.803,https://www.springer.com/journal/43762/,Springer (Direct),MU Directory
Carbon Neutrality,Springer,"27313948, 27888614",13 days,Free (MU Directory),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Carbon Neutrality is 12.5. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",2.321,https://www.springer.com/journal/43979,Springer (Direct),MU Directory
Journal of Rock Mechanics and Geotechnical Engineering,Chinese Academy of Sciences,"25890417, 16747755",9 weeks,Free (Stated on Website),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Journal Of Rock Mechanics And Geotechnical Engineering is 10.2. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",2.719,http://www.journals.elsevier.com/journal-of-rock-mechanics-and-geotechnical-engineering/,journalsearches.com,journalsearches.com
Anesthesiology and Perioperative Science,Springer,2731-8389,8 days,  (DOAJ),Not Indexed,Not Available,Not Available,https://www.springer.com/journal/44254,Springer (Direct),DOAJ
Asian Journal of Pharmaceutical Sciences,Shenyang Pharmaceutical University,"18180876, 2221285X",17 weeks,Free (Stated on Website),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Asian Journal Of Pharmaceutical Sciences is 11.9. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",2.251,http://www.journals.elsevier.com/asian-journal-of-pharmaceutical-sciences/,journalsearches.com,journalsearches.com
Chinese Journal of Traumatology,Elsevier,,28 weeks,Free (Stated on Website),Not Indexed,Not Available,Not Available,https://www.journals.elsevier.com/chinese-journal-of-traumatology/,journalsearches.com,journalsearches.com
Indian Journal of Psychological Medicine,SAGE Publications Ltd,"02537176, 09751564",12 weeks,Free (MU Directory),Indexed,"Q2The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Indian Journal Of Psychological Medicine is 2.0. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.79,https://journals.sagepub.com/home/szj,journalsearches.com,MU Directory
Brain Science Advances,SAGE Publishing,2096-5958,10 weeks,  (DOAJ),Not Indexed,Not Available,Not Available,https://journals.sagepub.com/home/bsa,journalsearches.com,DOAJ
EFSA Journal,Wiley-Blackwell Publishing Ltd,18314732,5 weeks,Free (MU Directory),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Efsa Journal is 3.3. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",1.111,https://efsa.onlinelibrary.wiley.com/journal/18314732,journalsearches.com,MU Directory
Journal of Physiotherapy,Australian Physiotherapy Association,"18369553, 18369561",6 weeks,Free (Stated on Website),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Journal Of Physiotherapy is 9.4. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",1.668,https://www.sciencedirect.com/journal/journal-of-physiotherapy,journalsearches.com,journalsearches.com
