Journal Name,Publisher,Initial Link,ISSN,APC,Quartile,Scopus Status,Review Time
Pediatric Neurosurgery,Brazilian Society for Pediatric Neurosurgery,https://www.karger.com/Journal/Guidelines/224273#sec62,2675-3626,No APC (DOAJ),Q2,Indexed,Not Available
Vascular and Endovascular Surgery,SAGE Publications Inc.,https://journals.sagepub.com/author-instructions/VES,Not Available,Unknown,Q3,Indexed,Not Available
Transplantation Proceedings,Elsevier Inc.,https://www.elsevier.com/journals/transplantation-proceedings/0041-1345/open-access-options,Not Available,Unknown,Q3,Indexed,Not Available
Cardiology in the Young,Cambridge University Press,https://www.cambridge.org/core/journals/cardiology-in-the-young/information/cty-open-access-faqs,Not Available,Unknown,Q3,Indexed,Not Available
Seminars in Pediatric Neurology,W.B. Saunders,https://www.elsevier.com/journals/seminars-in-pediatric-neurology/1071-9091/open-access-options,Not Available,Unknown,Q2,Indexed,Not Available
Journal of Neurosurgical Sciences,Edizioni Minerva Medica S.p.A.,https://www.minervamedica.it/en/journals/neurosurgical-sciences/notice-to-authors.php,Not Available,Unknown,Q2,Indexed,Not Available
Journal of Child Neurology,SAGE Publications Inc.,https://journals.sagepub.com/home/jcn,Not Available,Unknown,Q2,Indexed,Not Available
Neurorehabilitation,SAGE Publications Ltd,https://www.iospress.com/catalog/journals/neurorehabilitation,Not Available,Unknown,Q2,Indexed,Not Available
Clinical Neurology and Neurosurgery,Elsevier B.V.,https://www.elsevier.com/journals/clinical-neurology-and-neurosurgery/0303-8467/open-access-options,Not Available,Unknown,Q2,Indexed,Not Available
Clinical Neuropathology,Elsevier,https://www.dustri.com/nc/journals-in-english/mag/clinical-neuropathology.html,2772-5286,Has APC (See https://www.sciencedirect.com/journal/neuroscience-informatics/publish/open-access-options),Q3,Indexed,Not Available
Seminars In Respiratory And Critical Care Medicine,"Thieme Medical Publishers, Inc.",https://www.thieme.com/books-main/internal-medicine/product/2166-seminars-in-respiratory-and-critical-care-medicine,Not Available,Unknown,Q1,Indexed,Not Available
Critical Care Nurse,American Association of Critical-Care Nurses,https://aacnjournals.org/ccnonline/pages/instructions_for_authors,Not Available,Unknown,Q2,Indexed,Not Available
Cutis,Frontline Medical Communications Inc.,https://www.mdedge.com/dermatology/page/information-authors,Not Available,Unknown,Q3,Indexed,Not Available
Wound Management & Prevention,"HMP WOUND MANAGEMENT & PREVENTIONE-ISSN: 2640-5245Publisher: HMP Wound Management and PreventionE-ISSN: 26405245Publisher: HMP Communications Advances in wound care : the journal for prevention and healingE-ISSN: Publisher: Lippincott Williams & Wilkins Ltd. CHRONIC WOUND CARE MANAGEMENT AND RESEARCHE-ISSN: 2324-481XPublisher: DOVE MEDICAL PRESS LTD Chronic Wound Care Management and ResearchE-ISSN: 2324-481XPublisher: Dove Medical Press Journal of Wound Management and ResearchE-ISSN: 25860410Publisher: Korean Wound Management Society Ostomy Wound ManagementE-ISSN: Publisher: H M P Communications ADVANCES IN SKIN & WOUND CAREE-ISSN: 1538-8654Publisher: LIPPINCOTT WILLIAMS & WILKINS ADVANCES IN WOUND CAREE-ISSN: 2162-1934Publisher: MARY ANN LIEBERT, INC INTERNATIONAL WOUND JOURNALE-ISSN: 1742-481XPublisher: WILEY JOURNAL OF WOUND CAREE-ISSN: 2062-2916Publisher: MA HEALTHCARE LTD JOURNAL OF WOUND OSTOMY AND CONTINENCE NURSINGE-ISSN: 1528-3976Publisher: LIPPINCOTT WILLIAMS & WILKINS WOUND REPAIR AND REGENERATIONE-ISSN: 1524-475XPublisher: WILEY ADVANCES IN SKIN & WOUND CAREE-ISSN: 1538-8654Publisher: LIPPINCOTT WILLIAMS & WILKINSNot getting the journal you are searching for? So it most likely not indexed in Scopus, WOS, PubMed, DOAJ, UGC CARE. You might also try: Enter the correct title.Check the spelling of the wordsMake sure you have added spaces between words",https://www.hmpgloballearningnetwork.com/site/wmp/author-instructions,Not Available,Unknown,Not Available,Likely Indexed,Not Available
Australasian Emergency Care,Elsevier Australia,https://www.elsevier.com/journals/australasian-emergency-care/2588-994x/open-access-options,Not Available,Unknown,Q1,Indexed,Not Available
Archives of Osteoporosis,Springer London,https://www.springer.com/journal/11657/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q1,Indexed,Not Available
Neuroimmunomodulation,S. Karger AG,https://www.karger.com/Journal/SubscriptionRates/224176,Not Available,Unknown,Q3,Indexed,20 weeks
Canadian Journal of Diabetes,Elsevier B.V.,https://www.elsevier.com/journals/canadian-journal-of-diabetes/1499-2671/open-access-options,Not Available,Unknown,Q1,Indexed,Not Available
Steroids,Elsevier Inc.,https://www.elsevier.com/journals/steroids/0039-128x/open-access-options,Not Available,Unknown,Q2,Indexed,Not Available
Journal of Mammary Gland Biology and Neoplasia,Springer,https://www.springer.com/journal/10911/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q2,Indexed,Not Available
Primary Care Diabetes,Elsevier Ltd,https://www.elsevier.com/journals/primary-care-diabetes/1751-9918/open-access-options,Not Available,Unknown,Q1,Indexed,Not Available
Domestic Animal Endocrinology,Elsevier Inc.,https://www.elsevier.com/journals/domestic-animal-endocrinology/0739-7240/open-access-options,Not Available,Unknown,Q1,Indexed,Not Available
Vitamins and Hormones,Academic Press Inc.,https://www.elsevier.com/books/vitamins-and-hormones/litwack/978-0-12-709852-4,Not Available,Unknown,Q1,Indexed,Not Available
Magnesium Research,John Libbey,https://www.jle.com/en/revues/mrh/abonnement.phtml,Not Available,Unknown,Q4,Indexed,Not Available
Archives of Endocrinology and Metabolism,Sociedade Brasileira de Endocrinologia e Metabologia,https://www.aem-sbem.com/instructions-for-authors/,Not Available,Unknown,Q3,Indexed,7 weeks
"Endocrinología, Diabetes y Nutrición",Not Available,https://www.elsevier.com/journals/endocrinologia-diabetes-y-nutricion/2530-0164/open-access-options,Not Available,Unknown,Not Available,Not Available,Not Available
Endokrynologia Polska,Via Medica,https://journals.viamedica.pl/endokrynologia_polska/about/subscriptions,Not Available,Unknown,Q3,Indexed,20 weeks
Journal of Hepato-Biliary-Pancreatic Sciences,Wiley-Blackwell,https://onlinelibrary.wiley.com/page/journal/18686982/homepage/fundedaccess.html,Not Available,Unknown,Q1,Indexed,Not Available
International Journal of Colorectal Disease,"ISSN: 01791958, 14321262 Journal Scope: Medicine",https://www.springer.com/journal/384/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q2,Indexed,Not Available
Digestive Surgery,S. Karger AG,https://www.karger.com/Journal/Guidelines/223996#sec62,Not Available,Unknown,Q2,Indexed,Not Available
Zeitschrift für Gastroenterologie,Not Available,https://www.thieme.de/de/zeitschrift-gastroenterologie/abonnement-16626.htm,Not Available,Unknown,Not Available,Not Available,Not Available
Biogerontology,Springer Science and Business Media B.V.,https://www.springer.com/journal/10522/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q1,Indexed,Not Available
European Geriatric Medicine,Springer Science and Business Media Deutschland GmbH,https://www.springer.com/journal/41999/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q1,Indexed,Not Available
Zeitschrift für Gerontologie und Geriatrie,Not Available,https://www.springer.com/journal/391/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Not Available,Not Available,Not Available
Clinical Hemorheology and Microcirculation,SAGE Publications Ltd,https://www.iospress.com/catalog/journals/clinical-hemorheology-and-microcirculation,Not Available,Unknown,Q2,Indexed,Not Available
Biorheology,SAGE Publications Ltd,https://www.iospress.com/catalog/journals/biorheology,Not Available,Unknown,Q4,Indexed,Not Available
Medical Microbiology and Immunology,Al Muthanna University,https://www.springer.com/journal/430/how-to-publish-with-us#Fees%20and%20Funding,"2226-146X, 2410-4590",No APC (DOAJ),Q1,Indexed,Not Available
European Cytokine Network,John Libbey,https://www.springer.com/journal/40698,Not Available,Unknown,Q3,Indexed,Not Available
Lymphology,Japanese Society of Phlebology,https://journals.librarypublishing.arizona.edu/lymph/site/submit/,"0915-7395, 2186-5523",No APC (DOAJ),Q4,Indexed,Not Available
Acta Microbiologica et Immunologica Hungarica,Akademiai Kiado ZRt.,https://akjournals.com/page/OpenAccessModels/open-access-models,Not Available,Unknown,Q3,Indexed,Not Available
Journal Of Immunological Methods,Elsevier B.V.,https://www.elsevier.com/journals/journal-of-immunological-methods/0022-1759/open-access-options,Not Available,Unknown,Q3,Indexed,Not Available
Transplant Immunology,Wolters Kluwer Medknow Publications,https://www.elsevier.com/journals/transplant-immunology/0966-3274/open-access-options,"2468-8398, 2455-8893",No APC (DOAJ),Q2,Indexed,Not Available
Veterinary Immunology and Immunopathology,Elsevier B.V.,https://www.elsevier.com/journals/veterinary-immunology-and-immunopathology/0165-2427/open-access-options,Not Available,Unknown,Q2,Indexed,Not Available
Critical Reviews in Immunology,Begell House Inc.,https://www.begellhouse.com/journals/critical-reviews-in-immunology.html,Not Available,Unknown,Q3,Indexed,Not Available
International Journal of STD & AIDS,"SAGE PUBLICATIONS LTD International Journal of STD and AIDSE-ISSN: Publisher: SAGE Publications Inc. AIDS/STD health promotion exchangeE-ISSN: Publisher: Royal Tropical Institute (KIT) Archives of STD/HIV ResearchE-ISSN: Publisher: Reproductive Health Center AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIVE-ISSN: 1360-0451Publisher: ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD AIDS Care - Psychological and Socio-Medical Aspects of AIDS/HIVE-ISSN: 13600451Publisher: Carfax Publishing Ltd. AIDS health promotion exchange / World Health Organization, Global Programme on AIDS, Health Promotion UnitE-ISSN: Publisher: Royal Tropical Institute (KIT) BETA bulletin of experimental treatments for AIDS : a publication of the San Francisco AIDS foundationE-ISSN: Publisher: San Francisco AIDS Foundation Canadian HIV/AIDS policy & law review / Canadian HIV/AIDS Legal NetworkE-ISSN: Publisher: Canadian HIV-AIDS Legal Network Canadian HIV-AIDS policy & law newsletter / Canadian HIV-AIDS Legal Network = Reseau juridique canadien VIH-SIDAE-ISSN: Publisher: Canadian HIV-AIDS Legal Network HIV/AIDS policy * law review / Canadian HIV/AIDS Legal Network.E-ISSN: Publisher: Canadian HIV-AIDS Legal Network JOURNAL OF THE INTERNATIONAL AIDS SOCIETYE-ISSN: 1758-2652Publisher: JOHN WILEY & SONS LTD JOURNAL OF THE INTERNATIONAL ASSOCIATION OF PROVIDERS OF AIDS CAREE-ISSN: 2325-9582Publisher: SAGE PUBLICATIONS INC HIV & AIDS",https://journals.sagepub.com/author-instructions/STD#OpenAccess,Not Available,Unknown,Not Available,Likely Indexed,Not Available
Indian Journal of Medical Microbiology,Indian Association of Medical Microbiologists,https://www.elsevier.com/journals/indian-journal-of-medical-microbiology/0255-0857/open-access-options,Not Available,Unknown,Q3,Indexed,Not Available
Japanese Journal of Infectious Diseases,Wolters Kluwer Medknow Publications,https://www.niid.go.jp/niid/en/instructions.html,0972-9062,No APC (DOAJ),Q3,Indexed,Not Available
AIDS Reviews,Permanyer Publications,https://www.aidsreviews.com/instructions.php,Not Available,Unknown,Q3,Indexed,Not Available
Sexual Health,Sociedad Materno Fetal,https://www.publish.csiro.au/sh/forauthors/OpenAccess,2519-9994,No APC (DOAJ),Q2,Indexed,Not Available
Surgical Infections,Mary Ann Liebert Inc.,https://home.liebertpub.com/publications/surgical-infections/53/for-authors#openaccess,Not Available,Unknown,Q2,Indexed,Not Available
AIDS Research and Human Retroviruses,Not Available,https://home.liebertpub.com/publications/aids-research-and-human-retroviruses/2/for-authors#openaccess,Not Available,Unknown,Not Available,Not Available,Not Available
Current HIV Research,Bentham Science Publishers,https://benthamscience.com/journal-subscriptions/2022,Not Available,Unknown,Q3,Indexed,Not Available
Journal of Vector Borne Diseases,Wolters Kluwer Medknow Publications,https://www.jvbd.org/contributors.asp,0972-9062,Free (MU Directory),Not Available,Not Available,Not Available
Infectious Diseases Now,Not Available,https://www.elsevier.com/journals/infectious-diseases-now/2666-9919/open-access-options,Not Available,Unknown,Not Available,Not Available,Not Available
Chronic Illness,De Gruyter,https://journals.sagepub.com/author-instructions/CHI,2568-2407,Has APC (See https://www.degruyter.com/publication/journal_key/JTM/downloadAsset/JTM_Instructions%20for%20Authors.pdf),Not Available,Not Available,Not Available
Journal of Postgraduate Medicine,Wolters Kluwer Medknow Publications,https://www.jpgmonline.com/contributors.asp,"1117-1936, 2468-6875",Free (MU Directory),Not Available,Not Available,Not Available
African Health Sciences,University of the Witwatersrand,https://www.ajol.info/index.php/ahs/about/submissions,2308-7854,Has APC (See https://aps.journals.ac.za/pub/about/editorialPolicies#custom-2),Not Available,Not Available,Not Available
Acta Clinica Croatica,"Sestre Milosrdnice University hospital, Institute of Clinical Medical Research",http://actaclinica.eu/subscription/,"0353-9466, 1333-9451",No APC (DOAJ),Not Available,Not Available,Not Available
Southern Medical Journal,South African Medical Association,https://sma.org/subscribe/,"1562-8264, 2078-676X",No APC (DOAJ),Not Available,Not Available,Not Available
Clinical EEG and Neuroscience,Not Available,https://journals.sagepub.com/author-instructions/EEG,Not Available,Unknown,Not Available,Not Available,Not Available
Brain and Language,SpringerOpen,https://www.elsevier.com/journals/brain-and-language/0093-934x/open-access-options,2363-5169,Has APC (See https://sfleducation.springeropen.com/about),Not Available,Not Available,Not Available
Gait & Posture,Not Available,https://www.elsevier.com/journals/gait-and-posture/0966-6362/open-access-options,Not Available,Unknown,Not Available,Not Available,Not Available
Brain and Cognition,SpringerOpen,https://www.elsevier.com/journals/brain-and-cognition/0278-2626/open-access-options,"2198-4018, 2198-4026",Has APC (See https://braininformatics.springeropen.com/about),Not Available,Not Available,Not Available
Progress in Brain Research,Not Available,https://www.elsevier.com/books-and-journals/book-series/progress-in-brain-research,Not Available,Unknown,Not Available,Not Available,Not Available
Neuroimaging Clinics of North America,W.B. Saunders,https://www.elsevier.com/journals/institutional/neuroimaging-clinics-of-north-america/1052-5149,Not Available,Unknown,Q2,Indexed,Not Available
Human Movement Science,"Society of Transparency, Openness, and Replication in Kinesiology",https://www.elsevier.com/journals/human-movement-science/0167-9457/open-access-options,2767-0732,No APC (DOAJ),Not Available,Not Available,Not Available
Behavioral Neuroscience,Wolters Kluwer Medknow Publications,https://www.apa.org/pubs/journals/bne/pricing,"2589-9171, 2589-918X",No APC (DOAJ),Not Available,Not Available,Not Available
Vision Research,Not Available,https://www.elsevier.com/journals/vision-research/0042-6989/open-access-options,Not Available,Unknown,Not Available,Not Available,Not Available
Visual Neuroscience,MDPI AG,https://www.cambridge.org/core/journals/visual-neuroscience/information/open-access-options,2411-5150,Has APC (See https://www.mdpi.com/journal/vision/apc),Not Available,Not Available,Not Available
Actas Españolas de Psiquiatría,Not Available,https://actaspsiquiatria.es/,Not Available,Unknown,Not Available,Not Available,Not Available
Neurology India,Wolters Kluwer Medknow Publications,https://www.neurologyindia.com/contributors.asp,"0976-7800, 0976-7819",No APC (DOAJ),Q3,Indexed,Not Available
Acta Neurobiologiae Experimentalis,Nencki Institute of Experimental Biology,https://ane.pl/subscription,Not Available,Unknown,Q3,Indexed,Not Available
Fetal Diagnosis and Therapy,Not Available,https://www.karger.com/Journal/SubscriptionRates/224239,Not Available,Unknown,Not Available,Not Available,Not Available
Journal of Gynecology Obstetrics and Human Reproduction,BMC,https://www.elsevier.com/journals/journal-of-gynecology-obstetrics-and-human-reproduction/2468-7847/open-access-options,1477-7827,Has APC (See https://rbej.biomedcentral.com/about),Not Available,Not Available,Not Available
Journal of Pediatric and Adolescent Gynecology,Not Available,https://www.elsevier.com/journals/journal-of-pediatric-and-adolescent-gynecology/1083-3188/open-access-options,Not Available,Unknown,Not Available,Not Available,Not Available
Clinical Obstetrics and Gynecology,BMJ Publishing Group,https://shop.lww.com/Clinical-Obstetrics-and-Gynecology/p/0009-9201,"2097-0587, 2667-1646",No APC (DOAJ),Not Available,Not Available,Not Available
Taiwanese Journal of Obstetrics & Gynecology,"ELSEVIER TAIWAN Taiwanese Journal of Obstetrics & GynecologyE-ISSN: Publisher: Elsevier Taiwanese Journal of Obstetrics and GynecologyE-ISSN: Publisher: Elsevier Taiwan AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGYE-ISSN: 1097-6868Publisher: MOSBY-ELSEVIER AMERICAN JOURNAL OF OBSTETRICS & GYNECOLOGY MFME-ISSN: 2589-9333Publisher: ELSEVIER EUROPEAN JOURNAL OF OBSTETRICS & GYNECOLOGY AND REPRODUCTIVE BIOLOGYE-ISSN: 1872-7654Publisher: ELSEVIER INTERNATIONAL JOURNAL OF GYNECOLOGY & OBSTETRICSE-ISSN: 1879-3479Publisher: WILEY JOURNAL OF GYNECOLOGY OBSTETRICS AND HUMAN REPRODUCTIONE-ISSN: 1773-0430Publisher: ELSEVIER MASSON, CORPORATION OFFICE JOURNAL OF PSYCHOSOMATIC OBSTETRICS & GYNECOLOGYE-ISSN: 1743-8942Publisher: TAYLOR & FRANCIS LTD JOURNAL OF PSYCHOSOMATIC OBSTETRICS & GYNECOLOGYE-ISSN: 1743-8942Publisher: TAYLOR & FRANCIS LTD JOURNAL OF CLINICAL OBSTETRICS AND GYNECOLOGYE-ISSN: 2619-9467Publisher: TURKIYE KLINIKLERI JOURNAL OF OBSTETRICS AND GYNECOLOGY OF INDIAE-ISSN: 0975-6434Publisher: SPRINGER INDIA TURKISH JOURNAL OF OBSTETRICS AND GYNECOLOGYE-ISSN: 2149-9330Publisher: GALENOS PUBL HOUSE Indonesian Journal of Obstetrics and GynecologyE-ISSN: 2338-7335Publisher: Indonesian Society of Obstetrics and Gynecology European Journal of Obstetrics & Gynecology and Reproductive Biology: XE-ISSN: 2590-1613Publisher: ElsevierNot getting the journal you are searching for? So it most likely not indexed in Scopus, WOS, PubMed, DOAJ, UGC CARE. You might also try: Enter the correct title.Check the spelling of the wordsMake sure you have added spaces between words",https://www.elsevier.com/journals/taiwanese-journal-of-obstetrics-and-gynecology/1028-4559/open-access-journal,Not Available,Unknown,Not Available,Likely Indexed,Not Available
International Urogynecology Journal,PAGEPress Publications,https://www.springer.com/journal/192/how-to-publish-with-us#Fees%20and%20Funding,"1121-3086, 2038-8314",No APC (DOAJ),Not Available,Not Available,Not Available
Seminars in Reproductive Medicine,Not Available,https://www.thieme.in/seminars-in-reproductive-medicine,Not Available,Unknown,Not Available,Not Available,Not Available
Zeitschrift für Geburtshilfe und Neonatologie,Not Available,https://www.thieme.de/de/zeitschrift-geburtshilfe-neonatologie/abonnement-16632.htm,Not Available,Unknown,Not Available,Not Available,Not Available
Current Cancer Drug Targets,Bentham Science Publishers,https://benthamscience.com/journal/ccdt,Not Available,Unknown,Q2,Indexed,Not Available
Cancer Epidemiology,Elsevier,https://www.elsevier.com/journals/cancer-epidemiology/1877-7821/open-access-options,2666-6790,Has APC (See https://www.elsevier.com/journals/tumour-virus-research/2666-6790/open-access-journal),Not Available,Not Available,Not Available
Oncology Research and Treatment,Wolters Kluwer Medknow Publications,https://www.karger.com/Journal/SubscriptionRates/224106,"2590-3233, 2590-3225",No APC (DOAJ),Q2,Indexed,Not Available
Cancer Nursing,Elsevier,https://journals.lww.com/cancernursingonline/_layouts/15/1033/oaks.journals/subscriptionservices.aspx,"2347-5625, 2349-6673",Has APC (See https://www.sciencedirect.com/journal/asia-pacific-journal-of-oncology-nursing/publish/open-access-options),Not Available,Not Available,Not Available
Anti-Cancer Agents in Medicinal Chemistry,Not Available,https://www.eurekaselect.com/journal/1,Not Available,Unknown,Not Available,Not Available,Not Available
Familial Cancer,Springer Science and Business Media B.V.,https://www.springer.com/journal/10689/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q2,Indexed,Not Available
Brachytherapy,Termedia Publishing House,https://www.elsevier.com/journals/brachytherapy/1538-4721/open-access-options,"1689-832X, 2081-2841",Has APC (See http://www.termedia.pl/Journal/Journal_of_Contemporary_Brachytherapy-54/Strona-774),Not Available,Not Available,Not Available
Anticancer Research,Dove Medical Press,https://ar.iiarjournals.org/content/subscriptions,1179-1322,Has APC (See https://www.dovepress.com/journal_pricing_bands.php?journal_id=55),Not Available,Not Available,Not Available
Surgical Oncology Clinics of North America,W.B. Saunders,https://www.journals.elsevier.com/surgical-oncology-clinics-of-north-america,Not Available,Unknown,Q1,Indexed,Not Available
Anti-Cancer Drugs,Not Available,https://journals.lww.com/anti-cancerdrugs/_layouts/15/1033/oaks.journals/subscriptionservices.aspx,Not Available,Unknown,Not Available,Not Available,Not Available
Current Problems in Cancer,Elsevier,https://www.elsevier.com/journals/current-problems-in-cancer/0147-0272/open-access-options,2666-6219,Has APC (See https://www.sciencedirect.com/journal/current-problems-in-cancer-case-reports/publish/open-access-options),Not Available,Not Available,Not Available
Cancer Genetics,Zabansaraye Parsian Novin Mehr Institute,https://www.elsevier.com/journals/cancer-genetics/2210-7762/open-access-options,2783-3127,No APC (DOAJ),Not Available,Not Available,Not Available
Asia-Pacific Journal of Clinical Oncology,Not Available,https://onlinelibrary.wiley.com/page/journal/17437563/homepage/fundedaccess.html,Not Available,Unknown,Not Available,Not Available,Not Available
Oncology Nursing Forum,Not Available,https://www.ons.org/onf/authors,Not Available,Unknown,Not Available,Not Available,Not Available
Journal of Adolescent and Young Adult Oncology,Mary Ann Liebert Inc.,https://ecommerce.liebertpub.com/institutional-pricing/jayao,Not Available,Unknown,Q1,Indexed,Not Available
Indian Journal of Cancer,Wolters Kluwer Medknow Publications,https://www.indianjcancer.com/contributors.asp,Not Available,Unknown,Q3,Indexed,Not Available
Journal of Cancer Research and Therapeutics,Frontiers Media S.A.,https://www.cancerjournal.net/subscribe.asp,2813-1169,Has APC (See https://www.frontiersin.org/journals/gastroenterology/for-authors/publishing-fees),Not Available,Not Available,Not Available
Bulletin du Cancer,John Libbey,https://www.elsevier.com/journals/bulletin-du-cancer/0007-4551/open-access-options,Not Available,Unknown,Q3,Indexed,Not Available
Clinical Journal of Oncology Nursing,Oncology Nursing Society,https://www.ons.org/cjon/authors,Not Available,Unknown,Q3,Indexed,Not Available
European Journal of Ophthalmology,Not Available,https://journals.sagepub.com/author-instructions/EJO,Not Available,Unknown,Not Available,Not Available,Not Available
Perception,Mimesis Edizioni,https://journals.sagepub.com/author-instructions/PEC,"0585-4733, 1825-8646",No APC (DOAJ),Not Available,Not Available,Not Available
Arquivos Brasileiros de Oftalmologia,Conselho Brasileiro De Oftalmologia,http://www.aboonline.org.br/instructions-for-authors,Not Available,Unknown,Q3,Indexed,Not Available
Hand Clinics,W.B. Saunders,https://www.journals.elsevier.com/hand-clinics,Not Available,Unknown,Q2,Indexed,Not Available
Journal of Back and Musculoskeletal Rehabilitation,Not Available,https://www.iospress.com/catalog/journals/journal-of-back-and-musculoskeletal-rehabilitation,Not Available,Unknown,Not Available,Not Available,Not Available
Clinics in Podiatric Medicine and Surgery,W.B. Saunders,https://www.journals.elsevier.com/clinics-in-podiatric-medicine-and-surgery,Not Available,Unknown,Q3,Indexed,Not Available
Journal of the American Podiatric Medical Association,American Podiatric Medical Association,https://japmaonline.org/page/authorcenter,Not Available,Unknown,Q3,Indexed,Not Available
American Journal of Audiology,Elsevier,https://pubs.asha.org/journal/aja,"0196-0709, 1532-818X",Has APC (See https://www.sciencedirect.com/journal/american-journal-of-otolaryngology/publish/open-access-options),Not Available,Not Available,Not Available
International Journal Of Pediatric Otorhinolaryngology,Not Available,https://www.elsevier.com/journals/international-journal-of-pediatric-otorhinolaryngology/0165-5876/open-access-options,Not Available,Unknown,Not Available,Not Available,Not Available
