Journal Name,Publisher,APC,Review Time,Quartile,Scopus Status,Source URL
Healthcare in Low-resource Settings,PAGEPress Publications,500 EUR (DOAJ),10 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=Healthcare%20in%20Low-resource%20Settings
Emergency Care Journal,PAGEPress Publications,No APC (DOAJ),10 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=Emergency%20Care%20Journal
Global Health Research and Policy,BMC,1190 GBP (DOAJ),5 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Global%20Health%20Research%20and%20Policy
Public Health Research & Practice,Sax Institute,1900 AUD (DOAJ),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Public%20Health%20Research%20%26%20Practice
Deutsche Zeitschrift für Sportmedizin,Dynamic Media Sales Verlag,No APC (DOAJ),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=Deutsche%20Zeitschrift%20fu%CC%88r%20Sportmedizin
Patient Safety,Patient Safety Authority,No APC (DOAJ),12 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Patient%20Safety
Journal of Regional Medical Campuses,University of Minnesota Libraries Publishing,Free (MU Directory),7 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Regional%20Medical%20Campuses
GMS Interdisciplinary Plastic and Reconstructive Surgery DGPW,German Medical Science GMS Publishing House,600 EUR (DOAJ),20 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=GMS%20Interdisciplinary%20Plastic%20and%20Reconstructive%20Surgery%20DGPW
Psychoradiology,Oxford University Press,No APC (DOAJ),12 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Psychoradiology
Journal of Mass Spectrometry and Advances in the Clinical Lab,Elsevier,No APC (DOAJ),22 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Mass%20Spectrometry%20and%20Advances%20in%20the%20Clinical%20Lab
GMS Infectious Diseases,German Medical Science GMS Publishing House,No APC (DOAJ),17 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=GMS%20Infectious%20Diseases
Pragmatic Case Studies in Psychotherapy,Rutgers University Libraries,No APC (DOAJ),16 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Pragmatic%20Case%20Studies%20in%20Psychotherapy
Upsala Journal of Medical Sciences,Upsala Medical Society,580 SEK (DOAJ),30 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Upsala%20Journal%20of%20Medical%20Sciences
Cardiovascular Innovations and Applications,Compuscript,No APC (DOAJ),16 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Cardiovascular%20Innovations%20and%20Applications
IHJ Cardiovascular Case Reports,Elsevier,No APC (DOAJ),36 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=IHJ%20Cardiovascular%20Case%20Reports
Journal of Clinical Interventional Radiology ISVIR,"Thieme Medical Publishers, Inc.",Free (MU Directory),18 weeks,Not Available,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Clinical%20Interventional%20Radiology%20ISVIR
Canadian Medical Education Journal,Canadian Medical Education Journal,Free (MU Directory),20 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Canadian%20Medical%20Education%20Journal
Infectious Diseases and Tropical Medicine,Verduci Editore,No APC (DOAJ),8 weeks,Not Available,Indexed,https://journalsearches.com/journal.php?title=Infectious%20Diseases%20and%20Tropical%20Medicine
"GMS Medizinische Informatik, Biometrie und Epidemiologie",German Medical Science GMS Publishing House,No APC (DOAJ),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=GMS%20Medizinische%20Informatik%2C%20Biometrie%20und%20Epidemiologie
Microbiota in Health and Disease,Verduci Editore,No APC (DOAJ),8 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Microbiota%20in%20Health%20and%20Disease
GMS Medizin – Bibliothek – Information,German Medical Science GMS Publishing House,No APC (DOAJ),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=GMS%20Medizin%20%E2%80%93%20Bibliothek%20%E2%80%93%20Information
Pathos,Publiediting,No APC (DOAJ),6 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Pathos
INNOVATIONS in Pharmacy,University of Minnesota Libraries Publishing,Free (MU Directory),16 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=INNOVATIONS%20in%20Pharmacy
Canada Communicable Disease Report,Public Health Agency of Canada,No APC (DOAJ),17 weeks,Not Available,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=Canada%20Communicable%20Disease%20Report
Clinical Hypertension,BMC,Free (MU Directory),6 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Clinical%20Hypertension
European Medical Journal Reproductive Health,European Medical Journal,Free (MU Directory),25 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=European%20Medical%20Journal%20Reproductive%20Health
Romanian Neurosurgery,London Academic Publishing,Not Available,6 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Romanian%20Neurosurgery
Arthroplasty,BMC,Free (MU Directory),15 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Arthroplasty
Swiss Medical Weekly,SMW supporting association (Trägerverein Swiss Medical Weekly SMW),No APC (DOAJ),10 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Swiss%20Medical%20Weekly
Journal of Primary Health Care,CSIRO Publishing,No APC (DOAJ),28 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Primary%20Health%20Care
Journal of Epileptology,Exeley Inc.,Free (MU Directory),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Epileptology
Vascular Biology,Bioscientifica,Free (MU Directory),13 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Vascular%20Biology
Egyptian Journal of Neurosurgery,SpringerOpen,Free (MU Directory),32 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Egyptian%20Journal%20of%20Neurosurgery
European Medical Journal Oncology,European Medical Journal,Free (MU Directory),22 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=European%20Medical%20Journal%20Oncology
Pharmaceutical Fronts,Georg Thieme Verlag KG,No APC (DOAJ),15 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Pharmaceutical%20Fronts
Online Journal of Nursing Informatics,HIMSS,Not Available,Not Available,Not Available,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=Online%20Journal%20of%20Nursing%20Informatics
Il Giornale di AMD,Idelson Gnocchi,No APC (DOAJ),8 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Il%20Giornale%20di%20AMD
Medical Review,De Gruyter,No APC (DOAJ),12 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Medical%20Review
GMS Hygiene and Infection Control,German Medical Science GMS Publishing House,No APC (DOAJ),10 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=GMS%20Hygiene%20and%20Infection%20Control
Pediatrics and Neonatology,Elsevier,No APC (DOAJ),52 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Pediatrics%20and%20Neonatology
Molecular Biomedicine,Springer,Free (MU Directory),10 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Molecular%20Biomedicine
Future Journal of Pharmaceutical Sciences,SpringerOpen,Free (MU Directory),23 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Future%20Journal%20of%20Pharmaceutical%20Sciences
American Journal of Experimental and Clinical Research,American Journal of Experimental and Clinical Research,Free (MU Directory),8 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=American%20Journal%20of%20Experimental%20and%20Clinical%20Research
WikiJournal of Medicine,WikiJournal User Group,Free (MU Directory),4 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=WikiJournal%20of%20Medicine
Journal of Oral Medicine and Oral Surgery,EDP Sciences,No APC (DOAJ),24 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Oral%20Medicine%20and%20Oral%20Surgery
Vision Pan-America,Pan-American Association of Ophthalmology,No APC (DOAJ),4 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Vision%20Pan-America
Translation,The University of Toledo,Free (MU Directory),12 weeks,Not Available,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=Translation
Journal of Contemporary Pharmacy Practice,California Pharmacists Association,Free (MU Directory),15 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Contemporary%20Pharmacy%20Practice
University of Ottawa Journal of Medicine,University of Ottawa,No APC (DOAJ),8 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=University%20of%20Ottawa%20Journal%20of%20Medicine
EMJ Microbiology & Infectious Diseases,European Medical Journal,No APC (DOAJ),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=EMJ%20Microbiology%20%26%20Infectious%20Diseases
Health and Interprofessional Practice,Pacific University Library,No APC (DOAJ),17 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Health%20and%20Interprofessional%20Practice
Advances in Laboratory Medicine,De Gruyter,No APC (DOAJ),10 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Advances%20in%20Laboratory%20Medicine
Cell Regeneration,SpringerOpen,Free (MU Directory),16 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Cell%20Regeneration
Pediatric Neurology Briefs,Pediatric Neurology Briefs Publishers,Free (MU Directory),8 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Pediatric%20Neurology%20Briefs
Atti della Accademia Peloritana dei Pericolanti - Classe di Scienze Medico-Biologiche,Accademia Peloritana dei Pericolanti,No APC (DOAJ),6 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Atti%20della%20Accademia%20Peloritana%20dei%20Pericolanti%20-%20Classe%20di%20Scienze%20Medico-Biologiche
Clinical Medicine Insights: Blood Disorders,SAGE Publishing,Free (MU Directory),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=Clinical%20Medicine%20Insights%3A%20Blood%20Disorders
Egyptian Journal of Forensic Sciences,SpringerOpen,Free (MU Directory),17 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Egyptian%20Journal%20of%20Forensic%20Sciences
International Journal of Hospital Based Health Technology Assessment,CybelePress,Not Available,Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=International%20Journal%20of%20Hospital%20Based%20Health%20Technology%20Assessment
Journal of Osseointegration,Ariesdue,600 EUR (DOAJ),4 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Osseointegration
European Medical Journal Nephrology,European Medical Journal,Free (MU Directory),23 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=European%20Medical%20Journal%20Nephrology
Perspectives Interdisciplinaires sur le Travail et la Santé,Institut de Recherche Robert-Sauvé en Santé et en Sécurité du Travail (IRSST),No APC (DOAJ),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=Perspectives%20Interdisciplinaires%20sur%20le%20Travail%20et%20la%20Sant%C3%A9
Indian Journal of Plastic Surgery,"Thieme Medical Publishers, Inc.",Free (MU Directory),27 weeks,Not Available,Indexed,https://journalsearches.com/journal.php?title=Indian%20Journal%20of%20Plastic%20Surgery
Health Services and Delivery Research,National Institute for Health Research,No APC (DOAJ),53 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Health%20Services%20and%20Delivery%20Research
The Journal of the Royal College of Physicians of Edinburgh,Royal College of Physicians of Edinburgh,Not Available,4 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=The%20Journal%20of%20the%20Royal%20College%20of%20Physicians%20of%20Edinburgh
International Journal of Orientation & Mobility,Exeley Inc.,Free (MU Directory),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=International%20Journal%20of%20Orientation%20%26%20Mobility
Journal of Physiotherapy,Elsevier,No APC (DOAJ),6 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Physiotherapy
African Journal of Health Professions Education,Health and Medical Publishing Group,8380 ZAR (DOAJ),24 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=African%20Journal%20of%20Health%20Professions%20Education
Annali dell'Istituto Superiore di Sanità,Istituto Superiore di Sanità,No APC (DOAJ),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=Annali%20dell%27Istituto%20Superiore%20di%20Sanit%C3%A0
Acta Epileptologica,BMC,Free (MU Directory),20 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Acta%20Epileptologica
Patient Experience Journal,The Beryl Institute,No APC (DOAJ),26 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Patient%20Experience%20Journal
Journal of Bio-X Research,Wolters Kluwer Health,Free (MU Directory),16 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Bio-X%20Research
World Cancer Research Journal,Verduci Editore,No APC (DOAJ),8 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=World%20Cancer%20Research%20Journal
Journal of the European Association for Health Information and Libraries,European Association for Health Information and Libraries,No APC (DOAJ),4 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20the%20European%20Association%20for%20Health%20Information%20and%20Libraries
Canadian Journal of Speech-Language Pathology and Audiology,Speech-Language and Audiology Canada (SAC),No APC (DOAJ),25 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Canadian%20Journal%20of%20Speech-Language%20Pathology%20and%20Audiology
Art Therapy Online,"Goldsmiths, University of London",No APC (DOAJ),30 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Art%20Therapy%20Online
Family Medicine and Community Health,BMJ Publishing Group,Free (MU Directory),19 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Family%20Medicine%20and%20Community%20Health
International Journal of Implant Dentistry,SpringerOpen,2590 EUR (DOAJ),13 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=International%20Journal%20of%20Implant%20Dentistry
Quality Advancement in Nursing Education,Canadian Association of Schools of Nursing,Free (MU Directory),40 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Quality%20Advancement%20in%20Nursing%20Education
Journal of Occupational Therapy Education,Eastern Kentucky University,Free (MU Directory),8 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Occupational%20Therapy%20Education
European Medical Journal Cardiology,European Medical Journal,Free (MU Directory),25 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=European%20Medical%20Journal%20Cardiology
Indian Pacing and Electrophysiology Journal,Elsevier,No APC (DOAJ),26 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Indian%20Pacing%20and%20Electrophysiology%20Journal
Southwest Journal of Pulmonary and Critical Care,Arizona Thoracic Society,Free (MU Directory),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Southwest%20Journal%20of%20Pulmonary%20and%20Critical%20Care
Egyptian Pediatric Association Gazette,SpringerOpen,Free (MU Directory),9 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Egyptian%20Pediatric%20Association%20Gazette
Finnish Journal of eHealth and eWelfare,Finnish Social and Health Informatics Association,No APC (DOAJ),24 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Finnish%20Journal%20of%20eHealth%20and%20eWelfare
Allergology International,Elsevier,256000 JPY (DOAJ),29 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Allergology%20International
Veins and Lymphatics,PAGEPress Publications,No APC (DOAJ),10 weeks,Q4,Likely Indexed,https://journalsearches.com/journal.php?title=Veins%20and%20Lymphatics
Emergency and Critical Care Medicine,Wolters Kluwer Health/LWW,No APC (DOAJ),21 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Emergency%20and%20Critical%20Care%20Medicine
Egyptian Journal of Medical Human Genetics,SpringerOpen,Free (MU Directory),18 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=Egyptian%20Journal%20of%20Medical%20Human%20Genetics
BJPsych International,Cambridge University Press,Free (MU Directory),14 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=BJPsych%20International
Dubai Medical Journal,Karger Publishers,Free (MU Directory),18 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=Dubai%20Medical%20Journal
Monaldi Archives for Chest Disease,PAGEPress Publications,No APC (DOAJ),12 weeks,Q3,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=Monaldi%20Archives%20for%20Chest%20Disease
"Journal of Orthopaedics, Trauma and Rehabilitation",SAGE Publishing,Free (MU Directory),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=Journal%20of%20Orthopaedics%2C%20Trauma%20and%20Rehabilitation
Bulletin de la Dialyse à Domicile,RDPLF,No APC (DOAJ),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=Bulletin%20de%20la%20Dialyse%20%C3%A0%20Domicile
Knee Surgery & Related Research,BMC,Free (MU Directory),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Knee%20Surgery%20%26%20Related%20Research
Chinese Neurosurgical Journal,BMC,Free (MU Directory),10 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Chinese%20Neurosurgical%20Journal
Pediatric Investigation,Wiley,Free (MU Directory),12 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Pediatric%20Investigation
Médecine Tropicale et Santé Internationale (MTSI),Société francophone de médecine tropicale et santé internationale (ancienne SPE),No APC (DOAJ),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=M%C3%A9decine%20Tropicale%20et%20Sant%C3%A9%20Internationale%20%28MTSI%29
Ophthalmology and Eye Diseases,SAGE Publishing,Free (MU Directory),8 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Ophthalmology%20and%20Eye%20Diseases
African Journal of Urology,SpringerOpen,Free (MU Directory),9 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=African%20Journal%20of%20Urology
The Egyptian Journal of Radiology and Nuclear Medicine,SpringerOpen,Free (MU Directory),27 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=The%20Egyptian%20Journal%20of%20Radiology%20and%20Nuclear%20Medicine
Revista Portuguesa de Pneumologia (English Edition),Elsevier,No APC (DOAJ),8 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Revista%20Portuguesa%20de%20Pneumologia%20%28English%20Edition%29
Building Healthy Academic Communities Journal,The Ohio State University Libraries,Free (MU Directory),20 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Building%20Healthy%20Academic%20Communities%20Journal
Journal of Health Research,Emerald Publishing,146000 UGX (DOAJ),12 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Health%20Research
OpenPhysio,Physiopedia,No APC (DOAJ),20 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=OpenPhysio
Blood Science,Wolters Kluwer Health,Free (MU Directory),10 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Blood%20Science
"Nordic Journal of Arts, Culture and Health",Scandinavian University Press (Universitetsforlaget),No APC (DOAJ),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=Nordic%20Journal%20of%20Arts%2C%20Culture%20and%20Health
South African Journal of Child Health,Health and Medical Publishing Group,Free (MU Directory),30 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=South%20African%20Journal%20of%20Child%20Health
Acupuncture and Herbal Medicine,Wolters Kluwer Health/LWW,No APC (DOAJ),14 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Acupuncture%20and%20Herbal%20Medicine
Journal of Muslim Mental Health,Michigan Publishing,No APC (DOAJ),25 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Muslim%20Mental%20Health
Reproduction and Fertility,Bioscientifica,Free (MU Directory),10 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Reproduction%20and%20Fertility
Global Bioethics Enquiry,UNESCO,No APC (DOAJ),12 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Global%20Bioethics%20Enquiry
International Journal of Pediatrics and Adolescent Medicine,Elsevier,Not Available,Not Available,Q3,Indexed,https://journalsearches.com/journal.php?title=International%20Journal%20of%20Pediatrics%20and%20Adolescent%20Medicine
Journal of the Society for Clinical Data Management,Society for Clinical Data Management,No APC (DOAJ),23 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20the%20Society%20for%20Clinical%20Data%20Management
Torture,International Rehabilitation Council for Torture Victims,No APC (DOAJ),34 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Torture
McGill Journal of Medicine,McGill University,No APC (DOAJ),12 weeks,Not Available,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=McGill%20Journal%20of%20Medicine
Journal of Biomedical Practitioners,Università degli Studi di Torino,No APC (DOAJ),18 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Biomedical%20Practitioners
SA Orthopaedic Journal,MedPharm Publications,No APC (DOAJ),6 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=SA%20Orthopaedic%20Journal
Immunological Medicine,Taylor & Francis Group,Free (MU Directory),19 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Immunological%20Medicine
Pediatric Quality & Safety,Wolters Kluwer,No APC (DOAJ),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Pediatric%20Quality%20%26%20Safety
RNA & DISEASE,Smart Science & Technology LLC,No APC (DOAJ),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=RNA%20%26%20DISEASE
MedEdPORTAL,Association of American Medical Colleges,Free (MU Directory),35 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=MedEdPORTAL
Science of Nursing and Health Practices,Réseau de recherche en interventions en sciences infirmières du Québec (RRISIQ),No APC (DOAJ),20 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Science%20of%20Nursing%20and%20Health%20Practices
Journal of Patient Experience,SAGE Publishing,Free (MU Directory),15 weeks,Q2,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=Journal%20of%20Patient%20Experience
Hong Kong Journal of Occupational Therapy,SAGE Publishing,Free (MU Directory),30 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Hong%20Kong%20Journal%20of%20Occupational%20Therapy
Egyptian Rheumatology and Rehabilitation,SpringerOpen,Free (MU Directory),9 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Egyptian%20Rheumatology%20and%20Rehabilitation
Sensors & Diagnostics,The Royal Society of Chemistry,2100 GBP (DOAJ),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Sensors%20%26%20Diagnostics
Programme Grants for Applied Research,NIHR Journals Library,Free (MU Directory),53 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Programme%20Grants%20for%20Applied%20Research
