Journal Title,Publisher,ISSN,APC,Source URL,Review Time,Scopus Indexing,Quartile
Zhejiang dianli,zhejiang electric power,1007-1881,Free (DOAJ),https://journalsearches.com/journal.php?title=Zhejiang%20dianli,Not Available,Not Indexed,Not Available
Colombia Internacional,Universidad de los Andes,1900-6004,Free (DOAJ),https://journalsearches.com/journal.php?title=Colombia%20Internacional,Not Available,Not Indexed,Not Available
Journal on Efficiency and Responsibility in Education and Science,Czech University of Life Sciences Prague,1803-1617,Free (DOAJ),https://journalsearches.com/journal.php?title=Journal%20on%20Efficiency%20and%20Responsibility%20in%20Education%20and%20Science,Not Available,Not Indexed,Not Available
Sciences du Jeu,Laboratoire Experice,2269-2657,Free (DOAJ),https://journalsearches.com/journal.php?title=Sciences%20du%20Jeu,Not Available,Not Indexed,Not Available
Journal of Architectural Sciences and Applications,Süleyman Demirel University,2548-0170,Free (DOAJ),https://journalsearches.com/journal.php?title=Journal%20of%20Architectural%20Sciences%20and%20Applications,Not Available,Not Indexed,Not Available
The Review of Korean Studies,The Academy of Korean Studies,2733-9351,Free (DOAJ),https://journalsearches.com/journal.php?title=The%20Review%20of%20Korean%20Studies,Not Available,Not Indexed,Not Available
Indonesian TESOL Journal,LP2M IAIN Palopo,2622-5441,Free (DOAJ),https://journalsearches.com/journal.php?title=Indonesian%20TESOL%20Journal,Not Available,Not Indexed,Not Available
"RUDN Journal of Language Studies, Semiotics and Semantics",Peoples’ Friendship University of Russia (RUDN University),2411-1236,Free (DOAJ),https://journalsearches.com/journal.php?title=RUDN%20Journal%20of%20Language%20Studies%2C%20Semiotics%20and%20Semantics,Not Available,Not Available,Not Available
Boletín de Filología,Universidad de Chile,0718-9303,Free (DOAJ),https://journalsearches.com/journal.php?title=Bolet%C3%ADn%20de%20Filolog%C3%ADa,Not Available,Not Available,Not Available
"Slovenščina 2.0: Empirične, aplikativne in interdisciplinarne raziskave",University of Ljubljana Press (Založba Univerze v Ljubljani),2335-2736,Free (DOAJ),https://journalsearches.com/journal.php?title=Sloven%C5%A1%C4%8Dina%202.0%3A%20Empiri%C4%8Dne%2C%20aplikativne%20in%20interdisciplinarne%20raziskave,Not Available,Not Available,Not Available
Put i Saobraćaj,Serbian society for roads VIA VITA,2406-1557,Free (DOAJ),https://journalsearches.com/journal.php?title=Put%20i%20Saobra%C4%87aj,Not Available,Not Available,Not Available
Corpus: Archivos Virtuales de la Alteridad Americana,"Centro Científico y Tecnológico-CONICET, Mendoza & Universidad Nacional de La Pampa",1853-8037,Free (DOAJ),https://journalsearches.com/journal.php?title=Corpus%3A%20Archivos%20Virtuales%20de%20la%20Alteridad%20Americana,Not Available,Not Available,Not Available
Българска неврология,Bulgarian Society of Neurology,2815-2522,Free (DOAJ),https://journalsearches.com/journal.php?title=%D0%91%D1%8A%D0%BB%D0%B3%D0%B0%D1%80%D1%81%D0%BA%D0%B0%20%D0%BD%D0%B5%D0%B2%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F,Not Available,Not Available,Not Available
Revista Desenvolvimento e Civilização,Universidade do Estado do Rio de Janeiro (UERJ),2675-7508,Free (DOAJ),https://journalsearches.com/journal.php?title=Revista%20Desenvolvimento%20e%20Civiliza%C3%A7%C3%A3o,Not Available,Not Available,Not Available
Zeszyty Cyrylo-Metodiańskie,Maria Curie-Skłodowska University,2449-8297,Free (DOAJ),https://journalsearches.com/journal.php?title=Zeszyty%20Cyrylo-Metodia%C5%84skie,Not Available,Not Available,Not Available
International Journal of Group Theory,University of Isfahan,2251-7669,Free (DOAJ),https://journalsearches.com/journal.php?title=International%20Journal%20of%20Group%20Theory,30 weeks,Indexed,Q2
Journal of Agricultural Sciences (Belgrade),University of Belgrade - Faculty of Agriculture,2406-0968,Free (DOAJ),https://journalsearches.com/journal.php?title=Journal%20of%20Agricultural%20Sciences%20%28Belgrade%29,12 weeks,Indexed,Q4
Psicosomática y Psiquiatría,Instituto Psiquiatría Psicodex SL,2565-0564,Free (DOAJ),https://journalsearches.com/journal.php?title=Psicosom%C3%A1tica%20y%20Psiquiatr%C3%ADa,Not Available,Not Available,Not Available
Актуальные вопросы пожарной безопасности,"All-Russian Research Institute for Fire Protection of the Ministry of the Russian Federation for Civil Defence, Emergencies and Elimination of Consequences of Natural Disasters (FGBU VNIIPO EMERCOM of Russia).",2686-8075,Free (DOAJ),https://journalsearches.com/journal.php?title=%D0%90%D0%BA%D1%82%D1%83%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5%20%D0%B2%D0%BE%D0%BF%D1%80%D0%BE%D1%81%D1%8B%20%D0%BF%D0%BE%D0%B6%D0%B0%D1%80%D0%BD%D0%BE%D0%B9%20%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8,Not Available,Not Available,Not Available
Rodriguésia,Instituto de Pesquisas Jardim Botânico do Rio de Janeiro,2175-7860,Free (DOAJ),https://journalsearches.com/journal.php?title=Rodrigu%C3%A9sia,Not Available,Not Available,Not Available
"Argomenti: Rivista di Economia, Cultura e Ricerca Sociale",Università degli Studi di Urbino Carlo Bo,1971-8357,Free (DOAJ),https://journalsearches.com/journal.php?title=Argomenti%3A%20Rivista%20di%20Economia%2C%20Cultura%20e%20Ricerca%20Sociale,Not Available,Not Available,Not Available
Revista Peruana de Ciencias de la Salud,Universidad de Huánuco,2707-6954,Free (DOAJ),https://journalsearches.com/journal.php?title=Revista%20Peruana%20de%20Ciencias%20de%20la%20Salud,8 weeks,Not Indexed,Not Available
Revista Facultad Nacional de Salud Pública,Universidad de Antioquia,0120-386X,Free (DOAJ),https://journalsearches.com/journal.php?title=Revista%20Facultad%20Nacional%20de%20Salud%20P%C3%BAblica,Not Available,Not Available,Not Available
Lamahu,"Department of Earth Science and Technology, Universitas Negeri Gorontalo",2828-6677,Free (DOAJ),https://journalsearches.com/journal.php?title=Lamahu,7 weeks,Not Indexed,Not Available
Cappadocia Journal of Area Studies,Cappadocia University,2717-7254,Free (DOAJ),https://journalsearches.com/journal.php?title=Cappadocia%20Journal%20of%20Area%20Studies,8 weeks,Not Indexed,Not Available
Dolomites Research Notes on Approximation,Padova University Press,2035-6803,Free (DOAJ),https://journalsearches.com/journal.php?title=Dolomites%20Research%20Notes%20on%20Approximation,8 weeks,Indexed,Q2
Dianoia,Boston College,2476-1826,Free (DOAJ),https://journalsearches.com/journal.php?title=Dianoia,18 weeks,Not Indexed,Not Available
International Journal of School Social Work,New Prairie Press at Kansas State University,2161-4148,Free (DOAJ),https://journalsearches.com/journal.php?title=International%20Journal%20of%20School%20Social%20Work,16 weeks,Not Indexed,Not Available
Sillages Critiques,"Centre de Recherche ""Texte et Critique de Texte""",1969-6302,Free (DOAJ),https://journalsearches.com/journal.php?title=Sillages%20Critiques,12 weeks,Not Indexed,Not Available
Revista Portuguesa de Pedagogia,Coimbra University Press,1647-8614,Free (DOAJ),https://journalsearches.com/journal.php?title=Revista%20Portuguesa%20de%20Pedagogia,35 weeks,Not Indexed,Not Available
Revista Agroecossistemas,Universidade Federal do Pará,2318-0188,Free (DOAJ),https://journalsearches.com/journal.php?title=Revista%20Agroecossistemas,24 weeks,Not Indexed,Not Available
International Journal of Multicultural Education,Eastern University,1934-5267,Free (DOAJ),https://journalsearches.com/journal.php?title=International%20Journal%20of%20Multicultural%20Education,52 weeks,Indexed,Q1
Boletín Geológico,Servicio Geológico Colombiano,2711-1318,Free (DOAJ),https://journalsearches.com/journal.php?title=Bolet%C3%ADn%20Geol%C3%B3gico,Not Available,Not Available,Not Available
AtTabsyir: Jurnal Komunikasi Penyiaran Islam,Sekolah Tinggi Agama Islam Negeri (STAIN) Kudus,2338-8544,Free (DOAJ),https://journalsearches.com/journal.php?title=AtTabsyir%3A%20Jurnal%20Komunikasi%20Penyiaran%20Islam,Not Available,Not Available,Not Available
Şarkiyat Mecmuası,Istanbul University Press,2717-6916,Free (DOAJ),https://journalsearches.com/journal.php?title=%C5%9Earkiyat%20Mecmuas%C4%B1,Not Available,Not Available,Not Available
Revista Linguística,Universidade Federal do Rio de Janeiro,2238-975X,Free (DOAJ),https://journalsearches.com/journal.php?title=Revista%20Lingu%C3%ADstica,Not Available,Not Available,Not Available
Pandaemonium Germanicum: Revista de Estudos Germanísticos,Universidade de São Paulo,1982-8837,Free (DOAJ),https://journalsearches.com/journal.php?title=Pandaemonium%20Germanicum%3A%20Revista%20de%20Estudos%20German%C3%ADsticos,Not Available,Not Available,Not Available
Uluslararası Uygur Araştırmaları Dergisi,Alimcan İnayet,2458-827X,Free (DOAJ),https://journalsearches.com/journal.php?title=Uluslararas%C4%B1%20Uygur%20Ara%C5%9Ft%C4%B1rmalar%C4%B1%20Dergisi,Not Available,Not Available,Not Available
Sociología del Trabajo,Universidad Complutense de Madrid,2603-9710,Free (DOAJ),https://journalsearches.com/journal.php?title=Sociolog%C3%ADa%20del%20Trabajo,Not Available,Not Available,Not Available
Transactions on Combinatorics,University of Isfahan,2251-8665,Free (DOAJ),https://journalsearches.com/journal.php?title=Transactions%20on%20Combinatorics,30 weeks,Indexed,Q4
"Biotechnologie, Agronomie, Société et Environnement",Presses Agronomiques de Gembloux,1780-4507,Free (DOAJ),https://journalsearches.com/journal.php?title=Biotechnologie%2C%20Agronomie%2C%20Soci%C3%A9t%C3%A9%20et%20Environnement,Not Available,Not Available,Not Available
Учёт. Анализ. Аудит,"Government of Russian Federation, Financial University",2619-130X,Free (DOAJ),https://journalsearches.com/journal.php?title=%D0%A3%D1%87%D1%91%D1%82.%20%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7.%20%D0%90%D1%83%D0%B4%D0%B8%D1%82,Not Available,Not Available,Not Available
Educação & Realidade,Universidade Federal do Rio Grande do Sul,2175-6236,Free (DOAJ),https://journalsearches.com/journal.php?title=Educa%C3%A7%C3%A3o%20%26%20Realidade,Not Available,Not Available,Not Available
مهندسی مکانیک شریف,Sharif University of Technology,2676-4733,Free (DOAJ),https://journalsearches.com/journal.php?title=%D9%85%D9%87%D9%86%D8%AF%D8%B3%DB%8C%20%D9%85%DA%A9%D8%A7%D9%86%DB%8C%DA%A9%20%D8%B4%D8%B1%DB%8C%D9%81,Not Available,Not Available,Not Available
Revista Jurídica Portucalense,Universidade Portucalense,2183-5705,Free (DOAJ),https://journalsearches.com/journal.php?title=Revista%20Jur%C3%ADdica%20Portucalense,Not Available,Not Available,Not Available
Bond Law Review,Bond University,2202-4824,Free (DOAJ),https://journalsearches.com/journal.php?title=Bond%20Law%20Review,12 weeks,Not Indexed,Not Available
Research Results in Pharmacology,Belgorod State National Research University,2658-381X,Free (DOAJ),https://journalsearches.com/journal.php?title=Research%20Results%20in%20Pharmacology,12 weeks,Indexed,Q3
"Ex-centric Narratives: Journal of Anglophone Literature, Culture and Media","School of English, Aristotle University of Thessaloniki, Greece",2585-3538,Free (DOAJ),https://journalsearches.com/journal.php?title=Ex-centric%20Narratives%3A%20Journal%20of%20Anglophone%20Literature%2C%20Culture%20and%20Media,Not Available,Not Available,Not Available
Turisztikai és Vidékfejlesztési Tanulmányok,CampInvest Kft.,2498-6984,Free (DOAJ),https://journalsearches.com/journal.php?title=Turisztikai%20%C3%A9s%20Vid%C3%A9kfejleszt%C3%A9si%20Tanulm%C3%A1nyok,Not Available,Not Available,Not Available
Keria: Studia Latina et Graeca,University of Ljubljana Press (Založba Univerze v Ljubljani),2350-4234,Free (DOAJ),https://journalsearches.com/journal.php?title=Keria%3A%20Studia%20Latina%20et%20Graeca,Not Available,Not Available,Not Available
Revista Angolana de Ciências,Associação Multidisciplinar de Investigação Científica,2664-259X,Free (DOAJ),https://journalsearches.com/journal.php?title=Revista%20Angolana%20de%20Ci%C3%AAncias,Not Available,Not Available,Not Available
Załącznik Kulturoznawczy,Wydawnictwo Naukowe Uniwersytetu Kardynała Stefana Wyszyńskiego,2392-2338,Free (DOAJ),https://journalsearches.com/journal.php?title=Za%C5%82%C4%85cznik%20Kulturoznawczy,Not Available,Not Available,Not Available
"The International Journal of Information, Diversity, & Inclusion",East Carolina University,2574-3430,Free (DOAJ + MU Directory),https://journalsearches.com/journal.php?title=The%20International%20Journal%20of%20Information%2C%20Diversity%2C%20%26%20Inclusion,Not Available,Not Available,Not Available
Studia Antiqua et Archaeologica,Editura Universitatii Al. I. Cuza Iasi,2392-6031,Free (DOAJ),https://journalsearches.com/journal.php?title=Studia%20Antiqua%20et%20Archaeologica,20 weeks,Indexed,Q1
Transactions on Aerospace Research,Sciendo,2545-2835,Free (DOAJ),https://journalsearches.com/journal.php?title=Transactions%20on%20Aerospace%20Research,12 weeks,Not Indexed,Not Available
Historia de la Educación Anuario,Sociedad Argentina de Investigación y Enseñanza en Historia de la Educación (SAIEHE),2313-9277,Free (DOAJ),https://journalsearches.com/journal.php?title=Historia%20de%20la%20Educaci%C3%B3n%20Anuario,Not Available,Not Available,Not Available
Tidsskrift for Ungdomsforskning,NOVA,1894-1036,Free (DOAJ),https://journalsearches.com/journal.php?title=Tidsskrift%20for%20Ungdomsforskning,37 weeks,Not Indexed,Not Available
Em Construção,Universidade do Estado do Rio de Janeiro (UERJ),2526-5792,Free (DOAJ),https://journalsearches.com/journal.php?title=Em%20Constru%C3%A7%C3%A3o,Not Available,Not Available,Not Available
Cihan University-Erbil Journal of Humanities and Social Sciences,Cihan University-Erbil,2707-6342,Free (DOAJ),https://journalsearches.com/journal.php?title=Cihan%20University-Erbil%20Journal%20of%20Humanities%20and%20Social%20Sciences,14 weeks,Not Indexed,Not Available
Artes del Ensayo,Universitat Pompeu Fabra,2462-5035,Free (DOAJ),https://journalsearches.com/journal.php?title=Artes%20del%20Ensayo,45 weeks,Not Indexed,Not Available
"Stem-, Spraak- en Taalpathologie",University of Groningen Press,2666-674X,Free (DOAJ),https://journalsearches.com/journal.php?title=Stem-%2C%20Spraak-%20en%20Taalpathologie,Not Available,Not Available,Not Available
Areté,Pontificia Universidad Católica del Perú,2223-3741,Free (DOAJ),https://journalsearches.com/journal.php?title=Aret%C3%A9,Not Available,Not Available,Not Available
Revista Española de Derecho Canónico,Servicio de publicaciones. Universidad Pontificia de Salamanca,2660-9541,Free (DOAJ),https://journalsearches.com/journal.php?title=Revista%20Espa%C3%B1ola%20de%20Derecho%20Can%C3%B3nico,Not Available,Not Available,Not Available
Revista Ciência em Extensão,"Universidade Estadual Paulista, Pró-Reitoria de Extensão Universitária",1679-4605,Free (DOAJ),https://journalsearches.com/journal.php?title=Revista%20Ci%C3%AAncia%20em%20Extens%C3%A3o,Not Available,Not Available,Not Available
Boletín Médico del Hospital Infantil de México,Permanyer,1665-1146,Free (DOAJ),https://journalsearches.com/journal.php?title=Bolet%C3%ADn%20M%C3%A9dico%20del%20Hospital%20Infantil%20de%20M%C3%A9xico,Not Available,Not Available,Not Available
Schème: Revista Eletrônica de Psicologia e Epistemologia Genéticas,Universidade Estadual Paulista (UNESP),1984-1655,Free (DOAJ),https://journalsearches.com/journal.php?title=Sch%C3%A8me%3A%20Revista%20Eletr%C3%B4nica%20de%20Psicologia%20e%20Epistemologia%20Gen%C3%A9ticas,Not Available,Not Available,Not Available
"Nuevas Poligrafías, Revista de Teoría Literaria y Literatura Comparada","Facultad de Filosofía y Letras, Universidad Nacional Autónoma de México (UNAM)",2954-4076,Free (DOAJ),https://journalsearches.com/journal.php?title=Nuevas%20Poligraf%C3%ADas%2C%20Revista%20de%20Teor%C3%ADa%20Literaria%20y%20Literatura%20Comparada,Not Available,Not Available,Not Available
Fronteiras,Centro Universitario de Anapolis,2175-0742,Free (DOAJ),https://journalsearches.com/journal.php?title=Fronteiras,10 weeks,Indexed,Q4
İstanbul Hukuk Mecmuası,Istanbul University Press,2667-6974,Free (DOAJ),https://journalsearches.com/journal.php?title=%C4%B0stanbul%20Hukuk%20Mecmuas%C4%B1,Not Available,Not Available,Not Available
Tánc és Nevelés,Hungarian Dance University,2732-1703,Free (DOAJ),https://journalsearches.com/journal.php?title=T%C3%A1nc%20%C3%A9s%20Nevel%C3%A9s,Not Available,Not Available,Not Available
Intersecciones en Comunicación,"Universidad Nacional del Centro de la Provincia de Buenos Aires, Facultad de Ciencias Sociales",2250-4184,Free (DOAJ),https://journalsearches.com/journal.php?title=Intersecciones%20en%20Comunicaci%C3%B3n,Not Available,Not Available,Not Available
Umjetnost Riječi,Croatian Philological Society,1849-1693,Free (DOAJ),https://journalsearches.com/journal.php?title=Umjetnost%20Rije%C4%8Di,Not Available,Not Available,Not Available
پزشکی بالینی ابن سینا,Hamadan University of Medical Sciences,2588-7238,Free (DOAJ),https://journalsearches.com/journal.php?title=%D9%BE%D8%B2%D8%B4%DA%A9%DB%8C%20%D8%A8%D8%A7%D9%84%DB%8C%D9%86%DB%8C%20%D8%A7%D8%A8%D9%86%20%D8%B3%DB%8C%D9%86%D8%A7,Not Available,Not Available,Not Available
Maghza: Jurnal Ilmu Al Qur'an dan Tafsir,UIN Prof. K.H Saifuddin Zuhri,2549-9971,Free (DOAJ),https://journalsearches.com/journal.php?title=Maghza%3A%20Jurnal%20Ilmu%20Al%20Qur%27an%20dan%20Tafsir,Not Available,Not Available,Not Available
Halo 194,"City Medical emergency department, Belgrade",2334-6477,Free (DOAJ),https://journalsearches.com/journal.php?title=Halo%20194,12 weeks,Not Indexed,Not Available
JUTI: Jurnal Ilmiah Teknologi Informasi,Institut Teknologi Sepuluh Nopember,2406-8535,Free (DOAJ),https://journalsearches.com/journal.php?title=JUTI%3A%20Jurnal%20Ilmiah%20Teknologi%20Informasi,Not Available,Not Available,Not Available
CoSMO,Università degli Studi di Torino,2281-6658,Free (DOAJ),https://journalsearches.com/journal.php?title=CoSMO,15 weeks,Not Indexed,Not Available
Archiwum Kryminologii,Instytut Nauk Prawnych PAN,0066-6890,Free (DOAJ),https://journalsearches.com/journal.php?title=Archiwum%20Kryminologii,5 weeks,Indexed,Q3
Eurasian Journal of Science and Engineering,Tishk International University,2414-5602,Free (DOAJ),https://journalsearches.com/journal.php?title=Eurasian%20Journal%20of%20Science%20and%20Engineering,8 weeks,Not Indexed,Not Available
Elementary Mathematics Education Journal,Palacký University Olomouc,2694-8133,Free (DOAJ),https://journalsearches.com/journal.php?title=Elementary%20Mathematics%20Education%20Journal,8 weeks,Not Indexed,Not Available
